t,xc,yc,zc,rxdegc,rydegc,rzdegc
241.00,-0.78,3.23,1.86,7.55,3.07,-0.84
242.00,-0.75,3.31,1.89,7.80,2.93,-0.85
243.00,-0.73,3.39,1.92,8.06,2.76,-0.84
244.00,-0.73,3.41,1.98,8.33,2.61,-0.83
245.00,-0.73,3.45,1.98,8.21,2.77,-0.79
246.00,-0.74,3.50,1.91,7.72,3.16,-0.67
247.00,-0.76,3.48,1.94,7.48,3.27,-0.59
248.00,-0.76,3.48,1.99,7.54,3.17,-0.55
249.00,-0.72,3.53,2.01,7.65,3.05,-0.49
250.00,-0.68,3.58,2.04,7.82,2.90,-0.45
251.00,-0.63,3.63,2.08,8.07,2.80,-0.39
252.00,-0.58,3.68,2.13,8.29,2.69,-0.28
253.00,-0.53,3.76,2.14,8.34,2.47,-0.20
254.00,-0.48,3.80,2.18,8.44,2.27,-0.15
255.00,-0.42,3.84,2.24,8.61,2.18,-0.10
256.00,-0.39,3.86,2.29,8.69,2.09,-0.04
257.00,-0.37,3.88,2.31,8.57,2.10,0.02
258.00,-0.35,3.92,2.27,8.20,2.39,0.13
259.00,-0.35,3.93,2.29,7.98,2.54,0.24
260.00,-0.34,3.93,2.38,8.13,2.47,0.34
261.00,-0.29,3.97,2.45,8.31,2.37,0.44
262.00,-0.25,4.03,2.49,8.43,2.17,0.54
263.00,-0.20,4.07,2.58,8.66,2.02,0.63
264.00,-0.14,4.10,2.66,8.86,1.94,0.69
265.00,-0.08,4.14,2.70,8.82,1.83,0.75
266.00,-0.03,4.15,2.74,8.67,1.62,0.86
267.00,0.04,4.14,2.82,8.56,1.34,1.01
268.00,0.12,4.03,2.96,8.36,1.09,1.16
269.00,0.21,3.90,2.98,7.39,0.75,1.27
270.00,0.28,3.84,2.83,5.47,0.30,1.32
271.00,0.35,3.67,2.89,4.17,-0.02,1.40
272.00,0.43,3.50,3.13,3.95,-0.14,1.48
273.00,0.48,3.48,3.25,3.81,-0.24,1.55
274.00,0.51,3.48,3.35,3.67,-0.34,1.63
275.00,0.54,3.46,3.51,3.74,-0.39,1.74
276.00,0.57,3.39,3.71,3.74,-0.44,1.86
277.00,0.60,3.35,3.77,2.93,-0.61,1.89
278.00,0.63,3.32,3.74,1.43,-0.71,1.89
279.00,0.69,3.24,3.83,0.38,-0.68,1.93
280.00,0.72,3.17,4.01,0.10,-0.90,1.96
281.00,0.75,3.20,4.14,-0.01,-1.26,2.00
282.00,0.79,3.28,4.22,-0.09,-1.42,2.11
283.00,0.83,3.33,4.36,0.14,-1.48,2.23
284.00,0.85,3.42,4.48,0.48,-1.68,2.38
285.00,0.94,3.58,4.50,0.67,-1.79,2.49
286.00,1.01,3.68,4.63,1.28,-2.19,2.56
287.00,1.01,3.78,4.77,2.17,-3.07,2.68
288.00,1.15,3.94,4.84,2.76,-3.56,2.79
289.00,1.32,4.07,4.90,3.13,-3.87,2.81
290.00,1.44,4.21,4.92,3.25,-4.50,2.81
291.00,1.57,4.31,4.98,3.35,-5.04,2.86
292.00,1.70,4.39,5.07,3.62,-5.48,2.91
293.00,1.83,4.48,5.12,3.86,-5.93,2.96
294.00,1.95,4.57,5.17,4.07,-6.42,3.03
295.00,2.07,4.67,5.25,4.38,-6.93,3.12
296.00,2.06,4.65,5.40,4.83,-7.40,3.25
297.00,2.09,4.65,5.40,4.46,-6.78,3.42
298.00,2.24,4.77,5.11,2.84,-4.95,3.56
299.00,2.19,4.73,5.11,2.00,-4.21,3.64
300.00,2.16,4.65,5.37,2.45,-4.68,3.73
301.00,2.28,4.75,5.47,2.69,-5.09,3.86
302.00,2.39,4.85,5.53,2.70,-5.47,4.00
303.00,2.49,4.90,5.66,2.85,-5.83,4.12
304.00,2.62,4.98,5.77,2.90,-6.19,4.17
305.00,2.74,5.11,5.82,2.90,-6.60,4.21
306.00,2.81,5.18,6.02,3.49,-7.07,4.36
307.00,2.88,5.24,6.25,4.36,-7.44,4.54
308.00,3.00,5.41,6.29,4.51,-7.68,4.64
309.00,3.07,5.53,6.37,4.44,-8.04,4.67
310.00,3.12,5.54,6.58,4.77,-8.23,4.66
311.00,3.22,5.63,6.69,4.85,-7.92,4.66
312.00,3.28,5.73,6.75,4.70,-7.62,4.72
313.00,3.31,5.78,6.89,4.84,-7.75,4.81
314.00,3.38,5.85,7.05,5.06,-8.15,4.87
315.00,3.49,5.93,7.19,5.16,-8.54,4.92
316.00,3.59,6.00,7.32,5.12,-8.92,4.98
317.00,3.68,6.06,7.46,4.99,-9.32,5.03
318.00,3.79,6.12,7.59,4.85,-9.63,5.12
319.00,3.88,6.17,7.74,4.83,-9.98,5.24
320.00,3.97,6.23,7.89,4.91,-10.45,5.32
321.00,4.03,6.27,8.06,5.03,-10.89,5.37
322.00,4.11,6.33,8.17,4.97,-10.87,5.44
323.00,4.19,6.39,8.22,4.63,-10.42,5.69
324.00,4.19,6.42,8.30,4.37,-10.27,6.03
325.00,4.24,6.44,8.43,4.31,-10.44,6.25
326.00,4.32,6.50,8.55,4.27,-10.65,6.33
327.00,4.40,6.55,8.70,4.38,-10.86,6.38
328.00,4.48,6.59,8.86,4.62,-11.07,6.42
329.00,4.53,6.68,8.95,4.67,-11.41,6.45
330.00,4.60,6.75,9.07,4.75,-11.63,6.44
331.00,4.69,6.81,9.22,4.96,-11.65,6.40
332.00,4.67,6.86,9.35,5.09,-11.77,6.43
333.00,4.65,6.90,9.44,5.03,-11.60,6.53
334.00,4.69,6.99,9.49,4.75,-10.78,6.64
335.00,4.66,7.03,9.60,4.76,-10.16,6.72
336.00,4.60,7.06,9.74,5.07,-10.17,6.76
337.00,4.60,7.13,9.87,5.36,-10.26,6.79
338.00,4.62,7.21,9.98,5.49,-10.17,6.80
339.00,4.65,7.28,10.09,5.50,-10.00,6.77
