t,xc,yc,zc,rxdegc,rydegc,rzdegc
259.00,-0.31,4.28,2.80,8.05,2.60,0.17
260.00,-0.35,4.20,2.97,8.10,2.51,0.26
261.00,-0.32,4.25,3.06,8.36,2.48,0.37
262.00,-0.29,4.32,3.12,8.44,2.29,0.47
263.00,-0.22,4.34,3.24,8.61,2.08,0.56
264.00,-0.13,4.42,3.31,8.92,2.00,0.65
265.00,-0.10,4.54,3.32,8.98,1.92,0.67
266.00,-0.10,4.59,3.37,8.81,1.77,0.77
267.00,-0.05,4.58,3.46,8.70,1.48,0.91
268.00,0.04,4.60,3.53,8.58,1.21,1.05
269.00,0.10,4.81,3.33,8.29,0.98,1.23
270.00,0.16,4.91,3.10,6.49,0.52,1.26
271.00,0.30,4.45,3.41,4.41,0.07,1.32
272.00,0.43,4.04,3.88,4.07,-0.08,1.43
273.00,0.49,4.02,4.04,4.01,-0.17,1.48
274.00,0.52,4.02,4.19,3.78,-0.27,1.57
275.00,0.56,3.97,4.42,3.74,-0.37,1.65
276.00,0.59,4.03,4.54,3.95,-0.37,1.79
277.00,0.61,4.27,4.40,3.68,-0.47,1.88
278.00,0.67,4.35,4.32,2.20,-0.72,1.84
279.00,0.72,4.08,4.63,0.68,-0.64,1.88
280.00,0.69,3.86,5.02,0.22,-0.69,1.92
281.00,0.70,3.86,5.22,0.15,-1.11,1.93
282.00,0.79,3.92,5.38,-0.01,-1.40,2.03
283.00,0.82,3.91,5.64,0.01,-1.39,2.14
284.00,0.81,4.02,5.80,0.51,-1.55,2.28
285.00,0.90,4.18,5.88,0.66,-1.78,2.44
286.00,0.87,4.18,6.17,0.89,-1.76,2.47
287.00,0.80,4.28,6.37,1.97,-2.66,2.59
288.00,1.04,4.55,6.40,2.63,-3.51,2.73
289.00,1.21,4.78,6.43,3.12,-3.56,2.79
290.00,1.27,4.99,6.44,3.36,-4.20,2.77
291.00,1.44,5.11,6.55,3.32,-4.83,2.80
292.00,1.59,5.18,6.72,3.59,-5.26,2.87
293.00,1.70,5.30,6.81,3.86,-5.70,2.90
294.00,1.80,5.42,6.90,4.07,-6.16,2.96
295.00,1.91,5.49,7.05,4.29,-6.69,3.04
296.00,2.04,5.57,7.21,4.70,-7.19,3.14
297.00,2.48,5.96,7.02,5.19,-7.61,3.30
298.00,2.78,6.31,6.67,3.78,-5.72,3.47
299.00,2.35,5.93,6.96,1.92,-3.97,3.57
300.00,2.09,5.63,7.49,2.33,-4.48,3.63
301.00,2.23,5.84,7.59,2.81,-4.90,3.75
302.00,2.36,6.01,7.70,2.76,-5.29,3.90
303.00,2.49,6.08,7.93,2.86,-5.67,4.03
304.00,2.64,6.22,8.08,3.06,-6.00,4.14
305.00,2.74,6.32,8.26,2.93,-6.39,4.12
306.00,2.79,6.26,8.69,3.09,-6.83,4.21
307.00,2.92,6.39,8.98,4.21,-7.33,4.44
308.00,3.10,6.80,8.93,4.78,-7.56,4.56
309.00,3.19,6.95,9.09,4.41,-7.82,4.63
310.00,3.36,6.95,9.45,4.70,-8.29,4.62
311.00,3.56,7.17,9.58,5.08,-8.14,4.59
312.00,3.57,7.32,9.71,4.79,-7.64,4.63
313.00,3.48,7.33,9.98,4.83,-7.57,4.71
314.00,3.51,7.43,10.21,5.08,-7.94,4.80
315.00,3.63,7.60,10.40,5.26,-8.38,4.83
316.00,3.75,7.75,10.58,5.27,-8.72,4.90
317.00,3.86,7.87,10.78,5.18,-9.15,4.94
318.00,3.98,7.95,11.02,4.99,-9.50,5.01
319.00,4.06,8.00,11.28,4.91,-9.78,5.13
320.00,4.14,8.08,11.53,4.98,-10.20,5.24
321.00,4.28,8.19,11.78,5.07,-10.73,5.30
322.00,4.51,8.36,11.96,5.22,-11.07,5.32
323.00,4.61,8.52,12.06,4.90,-10.60,5.46
324.00,4.51,8.53,12.24,4.53,-10.18,5.84
325.00,4.53,8.55,12.48,4.42,-10.37,6.13
326.00,4.65,8.64,12.70,4.40,-10.52,6.25
327.00,4.74,8.68,12.98,4.35,-10.80,6.30
328.00,4.82,8.75,13.23,4.66,-10.93,6.34
329.00,4.88,8.92,13.38,4.81,-11.23,6.39
330.00,5.03,9.02,13.62,4.74,-11.61,6.40
331.00,5.15,9.11,13.87,5.00,-11.64,6.35
332.00,5.15,9.23,14.06,5.13,-11.66,6.32
333.00,5.27,9.40,14.21,5.27,-11.90,6.42
334.00,5.44,9.55,14.37,4.96,-11.23,6.53
335.00,5.30,9.52,14.62,4.73,-10.22,6.64
336.00,5.12,9.52,14.88,5.02,-10.10,6.70
337.00,5.14,9.66,15.09,5.35,-10.26,6.71
338.00,5.23,9.83,15.26,5.59,-10.26,6.76
339.00,5.29,9.99,15.43,5.61,-10.05,6.74
