t,xc,yc,zc,rxdegc,rydegc,rzdegc,vx,vy,vz,rx,ry,rz
219.67,-0.31,1.31,0.68,1.89,2.97,0.54,0.02,0.14,-0.03,-116.98,2.21,-0.34
220.00,-0.32,1.33,0.70,2.34,3.47,0.76,-0.02,0.11,-0.01,-116.94,2.20,-0.35
220.33,-0.33,1.35,0.71,2.37,3.54,0.89,-0.05,0.10,0.00,-116.92,2.20,-0.35
220.67,-0.34,1.38,0.71,2.39,3.61,1.01,-0.06,0.10,-0.00,-116.92,2.21,-0.36
221.00,-0.34,1.42,0.71,1.91,4.01,0.65,-0.05,0.12,-0.02,-116.92,2.20,-0.38
221.33,-0.34,1.45,0.70,1.93,4.10,0.80,-0.02,0.15,-0.05,-116.91,2.19,-0.40
221.67,-0.35,1.48,0.71,1.98,4.17,0.99,0.03,0.20,-0.09,-116.87,2.15,-0.41
222.00,-0.36,1.50,0.74,1.30,3.46,0.99,0.09,0.25,-0.13,-116.80,2.10,-0.42
222.33,-0.37,1.53,0.76,1.41,3.51,1.23,0.14,0.31,-0.18,-116.69,2.02,-0.41
222.67,-0.38,1.57,0.78,1.54,3.55,1.50,0.18,0.37,-0.23,-116.58,1.93,-0.40
223.00,-0.42,1.62,0.79,1.65,2.52,1.61,0.19,0.44,-0.28,-116.45,1.84,-0.29
223.33,-0.45,1.68,0.80,1.81,2.56,1.95,0.18,0.50,-0.32,-116.29,1.74,-0.26
223.67,-0.46,1.73,0.83,2.01,2.64,2.30,0.16,0.55,-0.35,-116.10,1.66,-0.22
224.00,-0.49,1.77,0.87,2.95,2.50,2.23,0.12,0.59,-0.38,-115.83,1.61,-0.17
224.33,-0.49,1.81,0.92,3.21,2.63,2.64,0.10,0.61,-0.39,-115.59,1.57,-0.14
224.67,-0.49,1.86,0.95,3.46,2.77,3.06,0.10,0.59,-0.37,-115.35,1.54,-0.11
225.00,-0.50,1.90,0.99,4.51,3.11,3.05,0.14,0.53,-0.32,-115.07,1.46,-0.10
225.33,-0.49,1.95,1.03,4.72,3.24,3.52,0.19,0.46,-0.26,-114.88,1.40,-0.08
225.67,-0.50,2.00,1.04,4.88,3.34,4.01,0.24,0.40,-0.22,-114.75,1.29,-0.06
226.00,-0.53,2.07,1.04,5.75,3.69,4.27,0.29,0.36,-0.18,-114.64,1.13,-0.04
226.33,-0.55,2.14,1.04,5.84,3.76,4.83,0.33,0.33,-0.15,-114.57,0.96,-0.01
226.67,-0.56,2.19,1.05,5.95,3.84,5.42,0.36,0.31,-0.14,-114.47,0.81,0.02
227.00,-0.54,2.22,1.09,5.35,4.59,6.29,0.38,0.31,-0.13,-114.38,0.66,0.03
227.33,-0.54,2.24,1.12,5.50,4.71,6.95,0.40,0.30,-0.12,-114.26,0.50,0.06
227.67,-0.53,2.28,1.15,5.62,4.82,7.64,0.42,0.27,-0.09,-114.16,0.34,0.10
228.00,-0.54,2.31,1.18,5.53,3.56,8.39,0.46,0.23,-0.05,-114.09,0.17,0.17
228.33,-0.54,2.34,1.21,5.60,3.67,9.14,0.49,0.18,-0.01,-114.03,-0.03,0.22
228.67,-0.54,2.37,1.24,5.64,3.79,9.91,0.51,0.12,0.05,-113.99,-0.23,0.28
229.00,-0.55,2.39,1.27,5.90,2.69,10.50,0.52,0.06,0.10,-113.98,-0.43,0.36
229.33,-0.55,2.41,1.30,5.88,2.82,11.32,0.53,0.00,0.14,-113.99,-0.64,0.42
229.67,-0.55,2.43,1.32,5.82,2.98,12.15,0.52,-0.02,0.17,-114.04,-0.86,0.48
230.00,-0.55,2.47,1.32,5.46,2.02,12.78,0.51,-0.02,0.17,-114.12,-1.06,0.56
230.33,-0.56,2.50,1.33,5.37,2.22,13.65,0.49,0.00,0.15,-114.19,-1.26,0.62
230.67,-0.55,2.53,1.35,5.32,2.43,14.54,0.48,0.06,0.11,-114.21,-1.46,0.66
231.00,-0.55,2.54,1.39,4.80,1.57,15.02,0.47,0.14,0.04,-114.22,-1.65,0.74
231.33,-0.55,2.56,1.43,4.82,1.79,15.95,0.46,0.22,-0.01,-114.16,-1.84,0.78
231.67,-0.53,2.58,1.48,4.88,2.02,16.90,0.47,0.25,-0.04,-114.07,-2.02,0.81
232.00,-0.52,2.56,1.56,5.73,0.89,17.01,0.49,0.24,-0.03,-113.90,-2.19,0.91
232.33,-0.49,2.55,1.63,5.80,1.10,18.00,0.55,0.19,0.02,-113.78,-2.37,0.94
232.67,-0.46,2.56,1.69,5.80,1.33,19.01,0.65,0.08,0.11,-113.72,-2.57,1.00
233.00,-0.42,2.55,1.73,7.52,0.58,20.89,0.81,-0.08,0.24,-113.65,-2.73,1.09
233.33,-0.37,2.55,1.77,7.34,0.77,21.95,0.99,-0.23,0.37,-113.73,-3.03,1.17
233.67,-0.34,2.54,1.79,7.05,0.89,23.01,1.17,-0.34,0.46,-113.88,-3.43,1.26
234.00,-0.34,2.55,1.78,7.07,-0.84,24.15,1.35,-0.39,0.52,-114.09,-3.90,1.45
234.33,-0.32,2.55,1.77,6.57,-0.82,25.24,1.48,-0.39,0.53,-114.32,-4.50,1.57
234.67,-0.30,2.52,1.79,6.11,-0.83,26.34,1.53,-0.31,0.48,-114.50,-5.12,1.69
235.00,-0.30,2.49,1.82,5.23,-0.88,29.46,1.50,-0.17,0.37,-114.61,-5.77,1.80
235.33,-0.28,2.46,1.86,4.86,-0.91,30.60,1.41,-0.01,0.23,-114.65,-6.38,1.92
235.67,-0.24,2.42,1.91,4.61,-0.88,31.77,1.30,0.13,0.12,-114.59,-6.90,2.03
236.00,-0.17,2.35,2.01,4.69,-1.98,32.05,1.17,0.23,0.03,-114.45,-7.33,2.22
236.33,-0.10,2.31,2.10,4.60,-1.86,33.24,1.05,0.30,-0.03,-114.27,-7.68,2.31
236.67,-0.04,2.29,2.16,4.50,-1.70,34.43,0.96,0.34,-0.06,-114.11,-8.00,2.40
237.00,-0.00,2.28,2.21,4.67,-3.33,34.87,0.91,0.35,-0.07,-113.97,-8.27,2.66
237.33,0.05,2.29,2.25,4.53,-3.11,36.07,0.88,0.34,-0.06,-113.84,-8.54,2.76
237.67,0.09,2.29,2.30,4.41,-2.88,37.28,0.88,0.34,-0.06,-113.70,-8.80,2.86
238.00,0.13,2.27,2.36,5.64,-4.85,37.57,0.91,0.35,-0.06,-113.50,-9.04,3.07
238.33,0.18,2.26,2.42,5.48,-4.66,38.79,0.94,0.37,-0.07,-113.34,-9.30,3.18
238.67,0.23,2.24,2.47,5.31,-4.47,40.02,0.96,0.38,-0.07,-113.18,-9.58,3.30
239.00,0.26,2.23,2.52,6.51,-7.44,40.50,0.99,0.40,-0.08,-113.00,-9.84,3.53
239.33,0.30,2.22,2.57,6.25,-7.29,41.75,1.01,0.42,-0.09,-112.83,-10.13,3.66
239.67,0.36,2.20,2.62,6.01,-7.14,42.98,1.00,0.44,-0.11,-112.64,-10.41,3.78
240.00,0.41,2.19,2.67,2.99,-8.74,41.10,0.97,0.46,-0.13,-112.43,-10.71,3.93
240.33,0.47,2.17,2.73,2.74,-8.66,42.32,0.93,0.49,-0.15,-112.22,-10.97,4.03
240.67,0.55,2.16,2.79,2.51,-8.58,43.51,0.89,0.50,-0.17,-111.99,-11.22,4.10
241.00,0.64,2.15,2.85,1.80,-10.33,42.06,0.86,0.50,-0.17,-111.72,-11.43,4.04
241.33,0.73,2.13,2.91,1.70,-10.24,43.19,0.84,0.50,-0.18,-111.48,-11.66,4.07
241.67,0.82,2.11,2.97,1.59,-10.13,44.32,0.81,0.51,-0.19,-111.24,-11.88,4.10
242.00,0.89,2.11,3.01,1.61,-7.41,46.35,0.79,0.51,-0.19,-110.98,-12.12,4.04
242.33,0.97,2.10,3.06,1.54,-7.31,47.44,0.77,0.52,-0.20,-110.75,-12.33,4.08
242.67,1.06,2.09,3.13,1.50,-7.22,48.52,0.75,0.51,-0.20,-110.50,-12.52,4.10
243.00,1.16,2.06,3.20,1.59,-6.45,50.63,0.72,0.51,-0.19,-110.21,-12.67,4.08
243.33,1.26,2.03,3.28,1.59,-6.36,51.66,0.71,0.48,-0.17,-109.95,-12.83,4.09
243.67,1.37,1.99,3.35,1.59,-6.26,52.67,0.72,0.41,-0.10,-109.70,-12.98,4.10
244.00,1.49,1.95,3.44,1.67,-5.97,54.01,0.76,0.31,-0.00,-109.48,-13.12,4.11
244.33,1.60,1.91,3.53,1.62,-5.83,54.98,0.82,0.19,0.10,-109.32,-13.28,4.16
244.67,1.69,1.87,3.59,1.48,-5.63,55.95,0.88,0.09,0.20,-109.25,-13.46,4.27
245.00,1.74,1.86,3.62,1.39,-5.29,56.84,0.95,0.01,0.28,-109.25,-13.70,4.42
245.33,1.79,1.85,3.64,1.14,-5.00,57.79,0.99,-0.04,0.33,-109.31,-13.94,4.61
245.67,1.86,1.81,3.69,0.91,-4.74,58.72,1.00,-0.03,0.33,-109.35,-14.18,4.80
246.00,1.91,1.77,3.74,0.88,-4.28,59.59,0.97,0.03,0.28,-109.31,-14.44,4.93
246.33,1.98,1.73,3.80,0.69,-4.08,60.46,0.91,0.11,0.20,-109.29,-14.67,5.08
246.67,2.08,1.68,3.87,0.56,-3.93,61.28,0.86,0.19,0.13,-109.20,-14.86,5.17
247.00,2.20,1.62,3.96,1.23,-3.67,62.26,0.79,0.25,0.06,-108.98,-15.02,5.20
247.33,2.33,1.56,4.06,1.19,-3.62,63.00,0.74,0.30,0.01,-108.79,-15.16,5.22
247.67,2.45,1.52,4.14,1.16,-3.56,63.72,0.69,0.33,-0.03,-108.61,-15.28,5.25
248.00,2.56,1.50,4.21,1.99,-2.80,64.50,0.65,0.34,-0.04,-108.37,-15.41,5.23
248.33,2.67,1.47,4.28,1.99,-2.75,65.17,0.63,0.34,-0.05,-108.20,-15.51,5.26
248.67,2.79,1.44,4.35,2.00,-2.72,65.82,0.60,0.34,-0.05,-108.01,-15.60,5.27
249.00,2.91,1.42,4.42,3.08,-2.38,67.79,0.56,0.34,-0.05,-107.78,-15.64,5.24
249.33,3.04,1.39,4.50,3.12,-2.37,68.37,0.53,0.33,-0.06,-107.59,-15.71,5.24
249.67,3.16,1.36,4.58,3.16,-2.36,68.93,0.50,0.32,-0.05,-107.41,-15.76,5.23
250.00,3.28,1.36,4.65,4.36,-1.96,71.76,0.46,0.30,-0.04,-107.20,-15.76,5.18
250.33,3.40,1.34,4.72,4.42,-1.95,72.26,0.43,0.29,-0.04,-107.04,-15.78,5.18
250.67,3.53,1.32,4.80,4.49,-1.94,72.75,0.41,0.27,-0.03,-106.88,-15.78,5.17
251.00,3.68,1.33,4.87,4.20,1.21,71.05,0.40,0.26,-0.02,-106.80,-15.77,5.34
251.33,3.82,1.31,4.95,4.27,1.23,71.50,0.41,0.25,-0.01,-106.66,-15.74,5.35
251.67,3.95,1.29,5.02,4.31,1.24,71.94,0.43,0.25,0.00,-106.52,-15.73,5.36
252.00,4.07,1.29,5.09,5.36,1.20,74.51,0.47,0.24,0.02,-106.35,-15.70,5.34
252.33,4.19,1.26,5.18,5.36,1.17,74.88,0.49,0.24,0.03,-106.20,-15.73,5.35
252.67,4.32,1.23,5.26,5.36,1.13,75.22,0.49,0.23,0.04,-106.06,-15.77,5.35
253.00,4.43,1.23,5.33,6.27,3.28,78.26,0.47,0.21,0.05,-105.85,-15.77,5.20
253.33,4.55,1.20,5.41,6.27,3.22,78.53,0.43,0.19,0.06,-105.72,-15.81,5.19
253.67,4.68,1.17,5.49,6.30,3.18,78.81,0.40,0.17,0.07,-105.59,-15.82,5.17
254.00,4.83,1.18,5.58,6.47,4.32,78.65,0.36,0.14,0.08,-105.52,-15.73,5.32
254.33,4.98,1.16,5.67,6.52,4.29,78.87,0.34,0.12,0.10,-105.42,-15.69,5.30
254.67,5.11,1.13,5.75,6.55,4.29,79.10,0.34,0.09,0.12,-105.35,-15.66,5.30
255.00,5.23,1.16,5.82,9.34,4.78,81.66,0.35,0.07,0.14,-105.26,-15.68,5.32
255.33,5.35,1.13,5.90,9.36,4.77,81.84,0.37,0.05,0.16,-105.21,-15.66,5.33
255.67,5.47,1.10,5.99,9.37,4.75,82.01,0.41,0.02,0.19,-105.14,-15.66,5.33
256.00,5.62,1.10,6.08,8.65,7.15,83.48,0.45,-0.02,0.23,-105.13,-15.53,5.45
256.33,5.75,1.04,6.19,8.62,7.13,83.61,0.50,-0.07,0.28,-105.08,-15.56,5.45
256.67,5.87,1.00,6.28,8.56,7.15,83.78,0.54,-0.13,0.33,-105.08,-15.60,5.49
257.00,5.96,1.02,6.33,8.57,5.00,81.17,0.58,-0.21,0.39,-105.09,-16.08,5.36
257.33,6.05,0.98,6.40,8.44,5.09,81.31,0.61,-0.26,0.44,-105.19,-16.17,5.46
257.67,6.14,0.94,6.47,8.31,5.19,81.47,0.61,-0.27,0.45,-105.30,-16.26,5.58
258.00,6.20,0.96,6.51,8.77,8.06,79.50,0.57,-0.25,0.43,-105.27,-16.89,5.49
258.33,6.27,0.94,6.57,8.65,8.15,79.63,0.52,-0.20,0.39,-105.38,-16.98,5.61
258.67,6.37,0.89,6.65,8.58,8.21,79.77,0.46,-0.15,0.34,-105.43,-17.02,5.69
259.00,6.49,0.88,6.75,10.19,5.51,80.70,0.38,-0.09,0.29,-105.32,-16.84,5.91
259.33,6.62,0.83,6.86,10.22,5.48,80.77,0.31,-0.04,0.24,-105.28,-16.81,5.92
259.67,6.74,0.80,6.97,10.27,5.47,80.87,0.27,-0.00,0.20,-105.25,-16.77,5.93
260.00,6.87,0.84,7.05,13.11,2.78,79.63,0.26,0.01,0.19,-105.09,-16.67,6.13
260.33,7.00,0.81,7.15,13.18,2.77,79.71,0.26,0.03,0.18,-105.05,-16.60,6.14
260.67,7.12,0.79,7.24,13.23,2.74,79.82,0.26,0.04,0.17,-105.00,-16.55,6.14
261.00,7.23,0.83,7.32,16.22,3.00,77.72,0.27,0.05,0.17,-104.75,-16.37,6.01
261.33,7.33,0.79,7.41,16.25,2.94,77.79,0.28,0.06,0.16,-104.67,-16.35,6.01
261.67,7.45,0.76,7.52,16.28,2.89,77.89,0.27,0.07,0.16,-104.59,-16.33,6.00
262.00,7.57,0.82,7.59,18.89,2.21,78.28,0.24,0.07,0.16,-104.48,-16.18,6.11
262.33,7.69,0.79,7.70,18.94,2.15,78.35,0.22,0.06,0.16,-104.40,-16.13,6.09
262.67,7.81,0.77,7.80,18.99,2.10,78.50,0.20,0.05,0.17,-104.33,-16.06,6.08
263.00,7.95,0.86,7.87,19.71,-0.01,79.40,0.20,0.03,0.19,-104.52,-15.89,6.78
263.33,8.08,0.84,7.98,19.77,-0.04,79.50,0.22,0.01,0.21,-104.47,-15.81,6.77
263.67,8.20,0.81,8.09,19.78,-0.06,79.67,0.26,-0.00,0.23,-104.42,-15.76,6.76
264.00,8.31,0.90,8.15,20.08,-0.76,77.06,0.32,-0.02,0.25,-104.17,-15.13,6.72
264.33,8.43,0.87,8.25,20.05,-0.78,77.15,0.38,-0.02,0.26,-104.13,-15.13,6.71
264.67,8.54,0.83,8.35,19.96,-0.81,77.32,0.43,-0.01,0.27,-104.10,-15.15,6.72
265.00,8.67,0.93,8.41,17.00,1.99,76.92,0.46,-0.00,0.27,-103.60,-15.51,5.97
265.33,8.77,0.88,8.51,16.93,1.92,77.02,0.50,0.02,0.26,-103.55,-15.57,5.98
265.67,8.89,0.83,8.62,16.85,1.85,77.19,0.52,0.04,0.25,-103.48,-15.62,6.00
266.00,9.05,0.93,8.69,19.58,0.40,75.40,0.51,0.06,0.25,-103.45,-16.31,6.32
266.33,9.17,0.87,8.81,19.53,0.29,75.50,0.52,0.07,0.25,-103.36,-16.37,6.33
266.67,9.30,0.82,8.92,19.47,0.19,75.69,0.53,0.07,0.25,-103.28,-16.42,6.34
267.00,9.45,0.92,9.00,20.43,2.11,75.11,0.55,0.08,0.27,-103.28,-16.06,6.85
267.33,9.58,0.87,9.12,20.35,2.01,75.21,0.61,0.06,0.30,-103.19,-16.12,6.87
267.67,9.73,0.82,9.25,20.22,1.91,75.43,0.74,0.04,0.34,-103.12,-16.20,6.89
268.00,9.93,0.92,9.33,20.41,4.46,78.75,0.93,0.02,0.42,-103.07,-16.26,7.24
268.33,10.11,0.85,9.47,20.19,4.34,78.86,1.15,-0.01,0.49,-103.01,-16.45,7.29
268.67,10.23,0.75,9.59,19.76,4.20,79.05,1.39,-0.05,0.57,-102.97,-16.81,7.35
269.00,10.35,0.82,9.63,16.41,3.33,80.81,1.60,-0.27,0.66,-100.41,-17.37,7.83
269.33,10.40,0.67,9.73,15.78,3.19,80.86,1.76,-0.31,0.74,-100.38,-18.00,7.89
269.67,10.46,0.52,9.82,15.09,3.04,81.03,1.77,-0.32,0.78,-100.37,-18.66,7.95
270.00,10.60,0.57,9.85,14.61,6.03,81.38,1.41,-0.57,0.88,-103.39,-19.66,6.35
270.33,10.57,0.42,9.92,14.00,5.89,81.46,1.21,-0.51,0.82,-103.37,-20.27,6.39
270.67,10.61,0.26,10.04,13.59,5.78,81.69,0.98,-0.44,0.73,-103.35,-20.69,6.42
271.00,10.84,0.31,10.14,14.52,4.35,81.42,0.65,-0.24,0.67,-105.70,-19.29,5.87
271.33,10.94,0.21,10.31,14.41,4.29,81.55,0.43,-0.20,0.55,-105.68,-19.39,5.90
271.67,10.99,0.12,10.46,14.33,4.23,81.80,0.30,-0.18,0.48,-105.66,-19.46,5.92
272.00,11.06,0.23,10.58,14.49,6.03,79.01,0.34,-0.12,0.46,-107.15,-20.09,3.49
272.33,11.14,0.17,10.73,14.43,6.00,79.13,0.33,-0.13,0.46,-107.14,-20.12,3.50
272.67,11.20,0.11,10.87,14.33,5.96,79.37,0.32,-0.13,0.46,-107.12,-20.17,3.52
273.00,11.26,0.23,10.96,14.14,7.26,77.89,0.31,-0.21,0.46,-110.00,-19.06,3.72
273.33,11.30,0.15,11.09,14.06,7.22,78.00,0.29,-0.21,0.46,-110.00,-19.13,3.74
273.67,11.34,0.07,11.23,14.00,7.19,78.23,0.26,-0.21,0.45,-109.99,-19.18,3.76
274.00,11.43,0.19,11.33,16.66,6.11,75.99,0.12,-0.24,0.42,-108.60,-17.49,2.72
274.33,11.46,0.10,11.47,16.67,6.08,76.08,0.08,-0.23,0.40,-108.60,-17.49,2.74
274.67,11.49,0.01,11.61,16.72,6.06,76.30,0.06,-0.24,0.40,-108.60,-17.46,2.77
275.00,11.58,0.14,11.73,18.27,9.13,79.69,0.07,-0.21,0.43,-110.84,-17.55,2.17
275.33,11.63,0.07,11.88,18.31,9.14,79.78,0.13,-0.23,0.47,-110.87,-17.50,2.22
275.67,11.67,-0.00,12.04,18.29,9.12,79.97,0.24,-0.28,0.55,-110.90,-17.50,2.26
276.00,11.74,0.12,12.16,18.18,6.35,82.55,0.47,-0.33,0.65,-110.63,-20.00,2.40
276.33,11.81,0.03,12.32,18.02,6.35,82.56,0.66,-0.40,0.78,-110.68,-20.16,2.44
276.67,11.84,-0.08,12.46,17.71,6.35,82.68,0.83,-0.49,0.90,-110.76,-20.44,2.48
277.00,11.85,0.02,12.54,17.97,6.89,84.21,0.86,-0.78,1.01,-112.86,-22.38,1.16
277.33,11.81,-0.13,12.65,17.47,6.92,84.15,0.93,-0.88,1.11,-112.99,-22.86,1.18
277.67,11.79,-0.27,12.76,16.97,6.98,84.23,0.92,-0.93,1.14,-113.18,-23.35,1.24
278.00,11.78,-0.15,12.81,13.96,8.76,83.07,0.60,-1.03,1.15,-115.69,-24.34,4.31
278.33,11.73,-0.27,12.88,13.49,8.90,83.04,0.47,-1.00,1.07,-115.95,-24.77,4.39
278.67,11.71,-0.40,12.99,13.16,9.02,83.13,0.34,-0.93,0.96,-116.19,-25.07,4.46
279.00,11.75,-0.28,13.11,11.09,5.98,82.21,0.22,-0.73,0.83,-118.30,-26.43,4.91
279.33,11.75,-0.38,13.25,10.93,6.13,82.10,0.10,-0.65,0.70,-118.49,-26.55,4.97
279.67,11.75,-0.48,13.38,10.83,6.24,82.09,0.01,-0.59,0.62,-118.63,-26.63,5.00
280.00,11.77,-0.31,13.52,12.96,5.24,84.66,0.04,-0.56,0.55,-118.69,-27.47,6.23
280.33,11.79,-0.42,13.66,12.94,5.39,84.45,0.01,-0.57,0.54,-118.78,-27.49,6.23
280.67,11.78,-0.51,13.78,12.89,5.51,84.39,-0.03,-0.60,0.54,-118.91,-27.52,6.25
281.00,11.76,-0.30,13.85,11.07,8.61,87.59,-0.16,-0.75,0.51,-119.54,-29.36,5.09
281.33,11.72,-0.41,13.95,10.97,8.84,87.39,-0.22,-0.81,0.51,-119.76,-29.39,5.15
281.67,11.68,-0.50,14.05,10.92,9.07,87.37,-0.28,-0.85,0.50,-120.03,-29.39,5.25
282.00,11.64,-0.26,14.10,9.58,10.03,90.12,-0.48,-0.89,0.38,-117.82,-30.53,6.83
282.33,11.57,-0.33,14.19,9.52,10.39,89.96,-0.55,-0.89,0.34,-118.19,-30.46,6.98
282.67,11.50,-0.42,14.29,9.56,10.69,89.94,-0.59,-0.89,0.31,-118.53,-30.35,7.13
283.00,11.48,-0.18,14.41,10.06,11.56,87.69,-0.51,-0.85,0.30,-119.58,-27.27,8.07
