t,xc,yc,zc,rx_degc,ry_degc,rz_degc,vx,vy,vz,rx,ry,rz
287.33,0.97,2.91,3.54,-5.04,-3.94,73.86,-0.46,-0.45,0.15,-100.79,-25.53,3.60
287.67,1.00,2.95,3.56,-4.90,-4.31,72.76,-0.44,-0.57,0.24,-101.04,-25.31,3.62
288.00,1.16,2.98,3.58,-5.57,-1.88,75.90,-0.41,-0.66,0.32,-101.24,-24.39,3.08
288.33,1.23,3.05,3.59,-5.53,-2.16,74.76,-0.37,-0.72,0.39,-101.63,-24.16,3.13
288.67,1.29,3.08,3.61,-5.53,-2.53,73.58,-0.32,-0.77,0.44,-101.99,-23.98,3.16
289.00,1.34,3.02,3.67,-6.42,-9.37,75.56,-0.22,-0.79,0.50,-102.52,-23.60,3.61
289.33,1.39,3.01,3.71,-6.34,-9.87,74.34,-0.16,-0.81,0.54,-102.84,-23.52,3.60
289.67,1.44,3.02,3.74,-6.28,-10.40,73.07,-0.13,-0.84,0.58,-103.20,-23.46,3.62
290.00,1.55,2.99,3.77,-11.34,-16.80,68.99,-0.14,-0.88,0.62,-103.88,-23.49,3.87
290.33,1.58,3.00,3.79,-11.19,-17.40,67.74,-0.18,-0.92,0.64,-104.29,-23.44,3.91
290.67,1.63,3.00,3.82,-10.99,-18.02,66.43,-0.23,-0.95,0.66,-104.71,-23.34,3.96
291.00,1.77,2.91,3.89,-12.30,-9.72,66.81,-0.30,-0.97,0.66,-104.89,-23.09,3.13
291.33,1.83,2.90,3.94,-12.25,-10.33,65.51,-0.35,-0.99,0.67,-105.31,-22.92,3.18
291.67,1.88,2.89,3.98,-12.17,-11.00,64.15,-0.39,-1.01,0.68,-105.74,-22.75,3.22
292.00,2.01,2.77,4.06,-14.06,-8.51,70.59,-0.38,-1.03,0.73,-106.04,-21.36,2.63
292.33,2.06,2.75,4.12,-14.06,-9.21,69.26,-0.39,-1.06,0.75,-106.48,-21.18,2.66
292.67,2.11,2.72,4.17,-14.05,-9.98,67.86,-0.39,-1.07,0.77,-106.93,-21.00,2.70
293.00,2.25,2.59,4.27,-18.21,-16.47,76.30,-0.34,-1.09,0.84,-107.86,-19.62,3.45
293.33,2.30,2.56,4.33,-18.08,-17.31,74.95,-0.34,-1.10,0.86,-108.32,-19.44,3.49
293.67,2.36,2.53,4.40,-17.91,-18.21,73.53,-0.36,-1.10,0.88,-108.78,-19.26,3.53
294.00,2.53,2.40,4.50,-19.02,-29.36,60.07,-0.39,-1.09,0.89,-109.99,-19.89,4.40
294.33,2.58,2.36,4.58,-18.56,-30.24,58.59,-0.41,-1.08,0.88,-110.44,-19.70,4.43
294.67,2.63,2.32,4.66,-18.02,-31.18,57.02,-0.44,-1.06,0.88,-110.88,-19.49,4.46
295.00,2.75,2.17,4.77,-16.82,-18.13,49.43,-0.53,-1.05,0.85,-110.95,-20.02,2.75
295.33,2.78,2.11,4.86,-16.62,-18.99,48.02,-0.60,-1.08,0.86,-111.36,-19.78,2.78
295.67,2.78,2.01,4.97,-16.38,-19.90,46.54,-0.76,-1.23,0.94,-111.77,-19.52,2.80
296.00,2.68,1.72,5.17,-13.28,-18.91,53.79,-0.90,-1.52,1.11,-109.69,-16.30,1.73
296.33,2.63,1.54,5.31,-13.11,-19.57,52.27,-1.17,-1.84,1.28,-110.23,-15.93,1.79
296.67,2.63,1.43,5.38,-13.05,-20.06,50.57,-1.46,-2.16,1.48,-111.04,-15.36,1.91
297.00,3.04,1.32,5.39,-23.85,-15.01,57.10,-1.72,-2.36,1.93,-113.87,-12.61,0.45
297.33,3.09,1.27,5.40,-24.27,-15.31,55.45,-1.94,-2.52,2.13,-115.07,-11.72,0.56
297.67,3.11,1.18,5.43,-24.69,-15.66,53.75,-2.00,-2.46,2.16,-116.26,-10.79,0.63
298.00,3.18,0.98,5.53,-33.41,-7.05,62.37,-1.86,-2.03,2.32,-119.40,-5.76,-2.86
298.33,3.25,0.92,5.58,-34.00,-7.79,60.83,-1.68,-1.68,2.05,-120.41,-4.86,-2.92
298.67,3.28,0.77,5.74,-34.32,-8.88,59.36,-1.49,-1.34,1.74,-121.09,-4.13,-3.03
299.00,3.06,0.33,6.23,-47.63,-14.01,74.33,-1.12,-0.93,1.76,-127.06,5.42,0.03
299.33,3.08,0.16,6.57,-47.50,-15.59,73.42,-1.01,-0.68,1.44,-127.27,5.88,-0.18
299.67,3.12,0.04,6.83,-47.34,-17.43,72.44,-0.94,-0.55,1.27,-127.47,6.35,-0.38
300.00,3.34,-0.31,7.36,-40.68,-40.11,53.67,-1.20,-0.85,0.64,-129.38,-5.79,13.08
300.33,3.30,-0.43,7.47,-39.88,-41.62,52.25,-1.20,-0.88,0.70,-129.54,-5.33,12.87
300.67,3.26,-0.54,7.55,-38.97,-43.45,50.61,-1.20,-0.90,0.75,-129.75,-4.87,12.67
301.00,3.15,-0.77,7.67,-28.61,-25.22,30.28,-1.39,-1.09,0.65,-129.63,-11.42,4.99
301.33,3.08,-0.97,7.72,-28.31,-26.31,28.92,-1.39,-1.10,0.67,-129.88,-10.97,4.79
301.67,3.01,-1.18,7.79,-27.91,-27.55,27.43,-1.40,-1.09,0.67,-130.11,-10.52,4.58
302.00,2.83,-1.57,8.00,-30.29,-19.76,39.41,-1.44,-0.86,0.74,-127.55,-2.75,-3.36
302.33,2.73,-1.77,8.08,-30.10,-20.89,38.14,-1.45,-0.83,0.71,-127.76,-2.29,-3.56
302.67,2.63,-1.97,8.16,-29.83,-22.23,36.75,-1.46,-0.81,0.70,-127.96,-1.84,-3.75
303.00,2.55,-2.33,8.45,-41.87,-30.79,51.31,-1.25,-0.73,0.97,-129.23,1.89,-2.56
303.33,2.50,-2.51,8.62,-41.57,-32.07,50.27,-1.26,-0.74,1.00,-129.42,2.33,-2.77
303.67,2.46,-2.68,8.76,-41.23,-33.56,49.12,-1.26,-0.73,1.01,-129.64,2.76,-3.01
304.00,2.48,-2.98,9.05,-12.96,-48.15,30.33,-1.18,-0.84,1.02,-128.16,2.12,-1.67
304.33,2.47,-3.16,9.18,-11.74,-48.84,28.27,-1.15,-0.81,0.99,-128.41,2.53,-1.91
304.67,2.45,-3.34,9.32,-10.27,-49.65,25.94,-1.09,-0.74,0.91,-128.62,2.93,-2.13
305.00,2.38,-3.42,9.37,13.96,-59.94,27.87,-0.97,-0.65,0.76,-127.09,3.83,-1.98
305.33,2.37,-3.59,9.51,15.63,-59.88,25.72,-0.87,-0.53,0.61,-127.19,4.18,-2.14
305.67,2.33,-3.77,9.69,17.16,-59.79,23.85,-0.81,-0.45,0.49,-127.18,4.48,-2.26
306.00,2.25,-3.64,9.57,83.63,-55.79,-3.30,-0.75,-0.41,0.36,-123.63,4.38,-1.27
306.33,2.18,-3.85,9.78,83.87,-55.16,-3.52,-0.74,-0.39,0.33,-123.49,4.63,-1.32
306.67,2.14,-4.05,9.95,83.67,-54.88,-3.27,-0.76,-0.44,0.38,-123.40,4.91,-1.38
307.00,1.97,-3.51,9.41,167.31,-31.63,-99.45,-1.28,-0.70,0.08,-122.46,9.43,1.60
307.33,1.79,-3.74,9.40,167.03,-31.81,-99.17,-1.33,-0.83,0.23,-122.49,9.76,1.50
307.67,1.60,-3.97,9.37,167.05,-32.58,-99.64,-1.35,-0.92,0.34,-122.63,10.09,1.37
308.00,1.07,-3.23,8.31,-150.89,-29.05,158.56,-1.81,-0.67,0.35,-132.83,26.21,-14.53
308.33,0.68,-3.42,8.13,-151.09,-29.30,158.23,-1.78,-0.68,0.36,-133.16,26.52,-14.77
308.67,0.28,-3.63,8.01,-150.57,-29.55,156.62,-1.78,-0.65,0.31,-133.42,26.76,-15.00
309.00,-0.54,-3.74,7.69,128.83,-84.36,-86.79,-1.72,-0.48,0.12,-128.73,17.63,-14.36
309.33,-0.92,-3.92,7.62,125.93,-83.65,-84.02,-1.73,-0.40,0.01,-128.81,17.83,-14.52
309.67,-1.29,-4.10,7.55,123.31,-83.07,-81.52,-1.77,-0.35,-0.04,-128.86,18.07,-14.67
310.00,-1.87,-3.77,6.88,159.71,-48.57,-67.53,-1.76,-0.71,-0.46,-106.85,13.77,-1.81
310.33,-2.20,-4.05,6.69,159.27,-48.75,-67.11,-1.84,-0.71,-0.45,-106.80,14.13,-1.82
310.67,-2.52,-4.31,6.47,159.20,-49.42,-67.26,-1.87,-0.72,-0.43,-106.79,14.54,-1.83
311.00,-2.98,-3.46,5.43,-148.89,-1.52,-145.91,-3.37,-2.07,-1.41,-98.39,50.74,6.92
311.33,-3.91,-4.10,4.69,-149.15,-1.86,-146.28,-3.32,-2.09,-1.44,-98.35,51.19,7.03
311.67,-4.84,-4.75,3.98,-149.31,-2.15,-147.46,-3.25,-2.09,-1.50,-98.29,51.56,7.13
312.00,-5.65,-6.24,3.89,-168.25,14.08,-61.05,-1.36,-3.83,-0.43,-92.10,23.65,31.36
312.33,-5.96,-7.42,3.67,-168.09,14.25,-59.89,-1.25,-3.75,-0.48,-92.07,23.88,31.42
312.67,-6.26,-8.59,3.44,-167.77,14.65,-58.18,-1.15,-3.69,-0.52,-92.07,24.05,31.46
313.00,-6.50,-11.17,4.02,122.80,-9.11,-15.26,-0.70,-4.43,-0.14,-137.10,-2.51,17.62
313.33,-6.67,-12.62,3.96,122.73,-7.50,-15.14,-0.63,-4.42,-0.11,-137.11,-2.47,17.57
313.67,-6.82,-14.07,3.91,122.65,-4.91,-14.99,-0.59,-4.41,-0.08,-137.14,-2.44,17.52
314.00,-6.05,-14.48,3.85,51.62,43.00,-53.12,3.13,-5.36,3.79,-166.21,2.98,49.05
314.33,-4.97,-16.23,5.07,52.84,42.44,-51.21,3.13,-5.36,3.83,-166.27,2.97,49.00
314.67,-3.89,-17.98,6.29,55.40,41.13,-47.26,3.13,-5.36,3.86,-166.33,2.95,48.94
315.00,-2.55,-19.28,7.82,81.88,15.45,-44.27,4.14,-3.80,4.92,-156.82,10.16,41.38
315.33,-1.14,-20.51,9.38,81.76,15.53,-44.34,4.15,-3.80,4.96,-156.91,10.16,41.32
315.67,0.27,-21.76,10.94,81.67,15.40,-44.26,4.15,-3.80,4.99,-157.02,10.15,41.26
316.00,2.33,-22.34,13.03,122.92,30.22,-23.34,4.70,-3.74,5.30,-142.50,0.06,44.91
316.33,3.91,-23.53,14.69,122.76,29.79,-23.42,4.71,-3.74,5.32,-142.62,0.05,44.85
316.67,5.49,-24.71,16.35,122.59,28.67,-23.53,4.72,-3.73,5.32,-142.74,0.04,44.80
317.00,7.53,-24.93,18.38,106.37,72.20,2.08,3.82,-2.19,4.41,-149.62,-4.44,52.38
317.33,8.83,-25.61,19.74,106.58,71.57,2.43,3.84,-2.17,4.39,-149.74,-4.44,52.34
317.67,10.12,-26.29,21.11,107.30,70.14,3.30,3.86,-2.14,4.37,-149.84,-4.44,52.31
318.00,11.67,-26.43,22.74,36.92,37.93,-37.90,3.77,-2.25,4.31,-153.26,-0.73,52.16
318.33,12.92,-27.17,24.09,37.03,37.85,-37.62,3.80,-2.20,4.29,-153.34,-0.74,52.16
318.67,14.18,-27.91,25.44,37.43,37.70,-36.90,3.82,-2.16,4.27,-153.42,-0.77,52.18
319.00,15.60,-28.37,26.95,72.07,35.04,-26.51,3.89,-2.13,4.32,-152.01,-0.90,51.81
319.33,16.86,-29.11,28.32,72.06,34.90,-26.52,3.91,-2.10,4.32,-152.09,-0.98,51.86
319.67,18.12,-29.85,29.68,72.14,34.61,-26.36,3.92,-2.08,4.31,-152.18,-1.07,51.92
320.00,19.71,-30.04,31.33,122.33,51.08,2.79,3.92,-2.03,4.30,-150.97,-2.33,52.33
320.33,20.96,-30.77,32.68,122.16,50.82,2.56,3.91,-2.04,4.27,-151.05,-2.44,52.39
320.67,22.22,-31.50,34.04,122.01,50.17,2.34,3.88,-2.08,4.23,-151.11,-2.54,52.44
321.00,23.89,-31.47,35.80,-167.72,40.71,85.91,3.78,-2.09,4.14,-151.11,-3.27,52.88
321.33,25.12,-32.21,37.14,-168.12,40.61,85.27,3.74,-2.17,4.09,-151.14,-3.31,52.91
321.67,26.37,-32.93,38.49,-169.03,40.25,83.91,3.70,-2.23,4.05,-151.15,-3.27,52.90
322.00,27.97,-32.98,40.19,93.37,55.69,50.68,3.61,-2.31,4.02,-153.84,-2.10,53.08
322.33,29.22,-33.69,41.53,93.80,55.21,51.32,3.60,-2.34,4.02,-153.83,-1.92,53.01
322.67,30.46,-34.42,42.87,94.49,54.29,52.28,3.61,-2.33,4.04,-153.84,-1.71,52.97
323.00,31.86,-34.85,44.37,40.71,18.75,37.23,3.64,-2.30,4.12,-154.65,-0.86,52.69
323.33,33.09,-35.59,45.72,40.76,18.72,37.64,3.69,-2.22,4.16,-154.69,-0.67,52.69
323.67,34.31,-36.34,47.06,40.88,18.61,38.21,3.72,-2.16,4.19,-154.74,-0.54,52.72
324.00,35.67,-36.84,48.53,90.76,33.02,47.09,3.73,-2.11,4.23,-154.45,-0.62,52.81
324.33,36.87,-37.58,49.87,90.76,32.79,47.12,3.74,-2.08,4.24,-154.52,-0.60,52.88
324.67,38.08,-38.32,51.23,90.81,32.44,47.25,3.74,-2.06,4.24,-154.58,-0.60,52.94
325.00,39.58,-38.56,52.89,167.98,43.41,84.09,3.70,-2.06,4.25,-154.45,-0.69,53.05
325.33,40.78,-39.28,54.26,167.71,43.23,83.70,3.69,-2.07,4.24,-154.50,-0.71,53.09
325.67,41.99,-40.00,55.62,167.22,42.86,83.00,3.69,-2.07,4.22,-154.55,-0.74,53.12
326.00,43.51,-40.15,57.30,-123.69,3.81,100.44,3.66,-2.03,4.20,-153.85,-1.32,53.35
326.33,44.70,-40.85,58.65,-123.71,4.04,100.15,3.67,-2.01,4.16,-153.90,-1.38,53.40
326.67,45.89,-41.56,60.02,-123.72,4.43,99.51,3.67,-1.99,4.12,-153.91,-1.44,53.45
327.00,46.80,-42.69,61.12,-61.39,26.02,86.61,3.67,-1.97,4.13,-153.63,-1.49,53.43
327.33,47.98,-43.41,62.53,-61.27,25.76,86.67,3.67,-1.96,4.12,-153.60,-1.55,53.51
327.67,49.16,-44.12,63.92,-61.16,25.21,86.76,3.67,-1.96,4.15,-153.59,-1.62,53.59
328.00,50.12,-45.22,65.08,-78.91,31.32,134.60,3.63,-1.98,4.22,-153.83,-1.44,53.65
328.33,51.28,-45.93,66.46,-78.75,31.02,134.83,3.62,-2.00,4.27,-153.87,-1.53,53.71
328.67,52.45,-46.64,67.83,-78.56,30.45,135.18,3.61,-2.02,4.28,-153.93,-1.61,53.76
329.00,53.77,-47.14,69.36,-17.43,35.07,104.60,3.56,-2.03,4.28,-153.57,-1.87,53.81
329.33,54.93,-47.84,70.71,-17.35,35.06,104.75,3.54,-2.04,4.24,-153.64,-1.95,53.84
329.67,56.09,-48.55,72.10,-17.18,35.20,105.01,3.53,-2.05,4.18,-153.65,-2.02,53.88
330.00,57.05,-49.55,73.34,22.21,46.84,75.53,3.47,-2.06,4.15,-153.49,-2.11,53.95
330.33,58.19,-50.27,74.77,22.10,46.82,75.28,3.46,-2.07,4.11,-153.43,-2.15,53.99
330.67,59.33,-50.99,76.18,21.77,46.77,74.74,3.46,-2.06,4.10,-153.39,-2.18,54.02
331.00,60.38,-51.85,77.51,59.46,18.39,62.00,3.42,-2.06,4.14,-153.28,-2.16,54.04
331.33,61.51,-52.56,78.91,59.45,18.46,61.83,3.43,-2.06,4.18,-153.26,-2.19,54.07
331.67,62.63,-53.29,80.31,59.40,18.58,61.53,3.42,-2.09,4.19,-153.26,-2.23,54.11
332.00,63.92,-53.71,81.89,125.37,23.57,81.24,3.34,-2.14,4.21,-152.95,-2.39,54.16
332.33,65.00,-54.47,83.28,125.37,23.34,81.17,3.30,-2.21,4.18,-152.96,-2.40,54.21
332.67,66.11,-55.21,84.68,125.36,22.83,81.16,3.25,-2.30,4.13,-152.94,-2.31,54.20
333.00,67.50,-55.38,86.40,44.49,6.50,55.47,3.10,-2.42,4.08,-154.50,-1.45,54.13
333.33,68.59,-56.11,87.82,44.48,6.54,56.04,3.05,-2.49,4.01,-154.43,-1.22,54.03
333.67,69.68,-56.85,89.23,44.52,6.53,57.00,3.04,-2.51,3.96,-154.33,-0.95,53.92
334.00,70.94,-57.25,90.83,-5.25,-29.42,70.66,2.99,-2.49,3.97,-155.24,0.20,53.59
334.33,72.01,-57.99,92.27,-5.40,-28.97,70.91,3.04,-2.41,3.96,-155.11,0.45,53.50
334.67,73.06,-58.74,93.70,-5.59,-28.50,71.36,3.09,-2.31,3.97,-155.00,0.61,53.46
335.00,74.25,-59.23,95.24,54.14,-35.25,69.60,3.09,-2.20,4.03,-154.44,0.73,53.51
335.33,75.26,-60.00,96.68,54.10,-35.33,69.85,3.15,-2.11,4.07,-154.35,0.73,53.57
335.67,76.28,-60.75,98.11,53.97,-35.49,70.26,3.19,-2.05,4.10,-154.28,0.70,53.64
336.00,77.71,-60.78,99.90,123.44,-17.50,91.78,3.14,-2.01,4.16,-153.43,0.37,53.80
336.33,78.72,-61.51,101.34,123.57,-17.95,91.71,3.13,-2.02,4.18,-153.38,0.31,53.88
336.67,79.72,-62.25,102.78,123.69,-18.88,91.62,3.12,-2.04,4.19,-153.32,0.27,53.95
337.00,80.22,-63.79,103.74,-134.33,-2.48,72.32,3.05,-2.10,4.25,-152.83,0.37,53.98
337.33,81.21,-64.53,105.20,-134.28,-2.62,72.80,3.02,-2.15,4.25,-152.78,0.36,54.02
337.67,82.21,-65.27,106.67,-134.29,-2.93,73.78,2.99,-2.20,4.26,-152.73,0.38,54.04
338.00,82.87,-66.63,107.82,-70.03,-12.73,78.67,2.91,-2.23,4.31,-152.29,0.40,54.09
338.33,83.85,-67.36,109.30,-70.03,-13.16,78.69,2.89,-2.27,4.33,-152.25,0.44,54.06
338.67,84.84,-68.09,110.78,-70.05,-14.02,78.79,2.88,-2.28,4.35,-152.21,0.47,54.04
339.00,85.72,-69.00,112.16,-42.04,-19.40,113.68,2.81,-2.29,4.41,-152.09,0.59,54.01
