t,xc,yc,zc,rxdegc,rydegc,rzdegc,vx,vy,vz,rx,ry,rz
219.33,-0.36,1.25,0.66,4.48,-7.76,-7.40,0.04,0.16,-0.05,-117.01,2.25,-0.35
219.67,-0.37,1.27,0.67,4.73,-8.43,-8.81,0.02,0.14,-0.03,-116.97,2.22,-0.35
220.00,-0.39,1.30,0.67,3.30,-10.97,-13.20,-0.02,0.11,-0.01,-116.93,2.20,-0.30
220.33,-0.40,1.33,0.68,3.88,-11.60,-15.06,-0.05,0.10,-0.00,-116.91,2.20,-0.30
220.67,-0.41,1.35,0.69,4.50,-12.26,-17.03,-0.06,0.10,-0.00,-116.90,2.21,-0.31
221.00,-0.44,1.40,0.65,7.89,-13.78,-18.20,-0.04,0.12,-0.02,-116.79,2.28,-0.27
221.33,-0.44,1.44,0.65,9.48,-13.88,-21.14,-0.01,0.15,-0.05,-116.78,2.26,-0.29
221.67,-0.45,1.47,0.66,11.19,-13.91,-24.21,0.03,0.20,-0.09,-116.74,2.23,-0.30
222.00,-0.34,1.57,0.59,12.49,-14.57,-25.62,0.09,0.25,-0.13,-116.73,2.14,-0.65
222.33,-0.34,1.60,0.61,13.38,-15.10,-28.64,0.15,0.31,-0.17,-116.63,2.07,-0.65
222.67,-0.36,1.64,0.63,14.35,-15.59,-31.75,0.18,0.37,-0.22,-116.51,1.97,-0.64
223.00,-0.16,1.77,0.57,14.68,-18.86,-36.65,0.19,0.43,-0.27,-116.78,1.39,-1.46
223.33,-0.19,1.83,0.58,14.86,-19.75,-40.39,0.18,0.49,-0.31,-116.62,1.29,-1.42
223.67,-0.20,1.88,0.61,15.07,-20.59,-44.16,0.16,0.54,-0.35,-116.43,1.21,-1.39
224.00,0.21,1.99,0.59,17.33,-22.53,-48.31,0.12,0.59,-0.37,-117.23,0.65,-1.39
224.33,0.20,2.04,0.64,17.23,-24.72,-52.35,0.10,0.61,-0.38,-116.99,0.62,-1.36
224.67,0.19,2.09,0.68,17.27,-26.95,-56.42,0.10,0.59,-0.36,-116.75,0.58,-1.33
225.00,0.14,2.10,0.74,17.75,-30.72,-57.78,0.14,0.53,-0.30,-116.31,0.50,-1.11
225.33,0.14,2.15,0.78,19.41,-30.98,-63.16,0.19,0.46,-0.24,-116.12,0.44,-1.09
225.67,0.13,2.21,0.80,21.17,-31.12,-68.67,0.24,0.40,-0.20,-115.98,0.33,-1.07
226.00,-0.10,2.30,0.74,20.50,-28.19,-73.83,0.29,0.35,-0.16,-115.36,0.09,-1.52
226.33,-0.13,2.37,0.74,20.70,-25.27,-78.89,0.33,0.32,-0.13,-115.29,-0.07,-1.49
226.67,-0.14,2.42,0.77,20.59,-22.29,-84.04,0.36,0.30,-0.12,-115.20,-0.23,-1.46
227.00,0.26,2.73,0.57,20.87,-20.36,-86.14,0.35,0.29,-0.11,-116.05,-1.88,-2.63
227.33,0.25,2.76,0.61,14.52,-18.45,-96.34,0.37,0.29,-0.10,-115.93,-2.03,-2.59
227.67,0.24,2.80,0.64,7.80,-17.49,-106.79,0.39,0.26,-0.07,-115.84,-2.20,-2.55
228.00,1.35,3.12,0.43,-0.31,-20.43,-115.13,0.36,0.23,-0.01,-112.91,0.28,-3.72
228.33,1.30,3.16,0.46,-7.37,-30.06,-123.38,0.39,0.17,0.05,-112.86,0.10,-3.64
228.67,1.26,3.20,0.49,-11.36,-40.03,-128.60,0.40,0.12,0.11,-112.84,-0.10,-3.57
229.00,1.84,3.35,0.42,-13.22,-50.76,-134.69,0.40,0.07,0.21,-115.62,-1.20,-3.57
229.33,1.80,3.38,0.46,-10.88,-58.32,-124.73,0.39,0.02,0.26,-115.65,-1.41,-3.48
229.67,1.76,3.42,0.49,-9.93,-66.10,-115.29,0.38,-0.00,0.28,-115.71,-1.61,-3.39
230.00,1.49,3.17,0.77,-9.65,-75.87,-106.36,0.40,0.03,0.28,-115.31,-0.55,-5.29
230.33,1.46,3.22,0.79,-11.51,-86.14,-97.77,0.39,0.06,0.25,-115.38,-0.74,-5.21
230.67,1.43,3.26,0.83,-15.19,-96.17,-88.00,0.38,0.11,0.21,-115.42,-0.93,-5.14
231.00,1.31,2.65,1.31,-22.40,-107.41,-80.48,0.17,0.19,0.06,-115.36,-3.43,-2.98
231.33,1.22,2.67,1.32,-38.87,-78.27,-69.37,0.18,0.25,-0.01,-115.33,-3.60,-2.90
231.67,1.14,2.69,1.35,-41.55,-108.82,-56.14,0.19,0.28,-0.04,-115.25,-3.77,-2.82
232.00,1.65,3.01,1.31,-34.52,-137.75,-45.49,0.39,0.37,0.10,-115.76,-1.96,-2.75
232.33,1.66,3.03,1.43,-35.08,-120.61,-45.12,0.45,0.34,0.17,-115.64,-2.12,-2.67
232.67,1.67,3.06,1.53,-32.40,-128.08,-47.80,0.56,0.28,0.29,-115.60,-2.30,-2.57
233.00,1.76,3.13,1.61,-43.52,-148.56,-53.49,0.76,0.10,0.47,-118.31,-1.55,-2.22
233.33,1.80,3.14,1.70,-38.70,-159.47,-53.29,0.94,-0.00,0.64,-118.40,-1.82,-2.08
233.67,1.82,3.15,1.77,-55.03,-182.52,-68.68,1.12,-0.06,0.77,-118.57,-2.20,-1.91
234.00,1.72,3.15,1.80,-57.57,-207.99,-77.86,1.23,-0.10,0.85,-118.25,-4.49,-1.76
234.33,1.71,3.15,1.82,-57.59,-236.68,-92.54,1.36,-0.07,0.88,-118.52,-5.05,-1.53
234.67,1.71,3.13,1.89,-47.19,-265.19,-112.88,1.41,0.00,0.82,-118.73,-5.64,-1.29
235.00,1.91,3.36,1.84,-46.65,-283.77,-102.76,1.31,-0.05,0.71,-116.01,-8.77,-1.01
235.33,1.88,3.33,1.90,-33.26,-290.88,-73.71,1.24,0.09,0.54,-116.09,-9.37,-0.81
235.67,1.88,3.30,2.00,-17.06,-289.97,-47.31,1.15,0.20,0.40,-116.07,-9.86,-0.63
236.00,1.86,3.50,2.01,-3.62,-278.95,-19.73,1.14,0.23,0.36,-118.75,-9.46,-0.38
236.33,1.92,3.44,2.17,-0.11,-250.58,-42.93,1.02,0.29,0.28,-118.59,-9.80,-0.26
236.67,1.97,3.41,2.30,-12.41,-224.37,-32.59,0.94,0.32,0.23,-118.45,-10.11,-0.14
237.00,1.90,3.75,2.19,-7.92,-213.13,-17.46,0.75,0.33,0.15,-119.49,-13.37,-2.86
237.33,1.89,3.75,2.25,-7.20,-208.90,-14.67,0.73,0.32,0.16,-119.38,-13.64,-2.76
237.67,1.88,3.73,2.32,-5.08,-189.00,-12.19,0.73,0.32,0.16,-119.26,-13.90,-2.65
238.00,1.98,3.53,2.48,-7.42,-172.48,-12.68,0.77,0.28,0.16,-122.05,-14.41,0.04
238.33,1.97,3.51,2.56,-15.51,-196.01,12.79,0.81,0.29,0.16,-121.92,-14.67,0.16
238.67,1.96,3.49,2.64,-16.58,-216.62,-4.05,0.84,0.31,0.16,-121.79,-14.94,0.30
239.00,2.04,3.65,2.57,-8.33,-209.27,-3.50,0.84,0.27,0.19,-122.50,-18.17,-2.26
239.33,2.01,3.63,2.64,-2.57,-204.99,2.09,0.86,0.28,0.18,-122.38,-18.45,-2.10
239.67,1.99,3.61,2.72,0.00,-233.94,-20.09,0.86,0.31,0.17,-122.24,-18.73,-1.95
240.00,2.28,4.04,2.50,-11.77,-250.46,-28.82,0.67,0.31,0.14,-124.27,-21.42,-2.21
240.33,2.20,4.02,2.54,-9.83,-243.20,-31.88,0.65,0.33,0.11,-124.12,-21.67,-2.06
240.67,2.14,4.00,2.60,-3.49,-220.31,-15.24,0.63,0.35,0.08,-123.94,-21.91,-1.95
241.00,1.97,3.88,2.67,-5.09,-197.75,0.55,0.62,0.30,0.05,-121.28,-21.64,0.41
241.33,1.92,3.84,2.73,-7.77,-177.50,7.59,0.59,0.30,0.04,-121.06,-21.86,0.46
241.67,1.86,3.81,2.78,-17.41,-160.87,20.39,0.58,0.31,0.02,-120.84,-22.09,0.52
242.00,1.80,4.03,2.67,-21.37,-171.30,27.83,0.55,0.25,0.03,-123.15,-24.10,2.76
242.33,1.73,3.99,2.69,-19.24,-188.09,25.51,0.54,0.25,0.02,-122.93,-24.31,2.80
242.67,1.66,3.93,2.74,-20.38,-206.78,4.13,0.51,0.26,0.01,-122.69,-24.50,2.83
243.00,1.51,4.39,2.52,-20.46,-220.07,0.84,0.45,0.24,0.03,-121.74,-24.75,2.37
243.33,1.45,4.30,2.58,-26.99,-220.36,-4.63,0.42,0.21,0.05,-121.46,-24.90,2.35
243.67,1.38,4.20,2.64,-27.81,-218.00,-6.27,0.40,0.14,0.10,-121.20,-25.05,2.34
244.00,1.34,4.00,2.71,-28.70,-216.48,-8.85,0.38,0.01,0.22,-121.00,-26.45,0.88
244.33,1.27,3.89,2.78,-25.99,-218.07,-13.25,0.36,-0.12,0.32,-120.85,-26.61,0.91
244.67,1.20,3.80,2.82,-18.23,-226.92,-15.85,0.35,-0.23,0.42,-120.82,-26.81,1.01
245.00,1.23,3.42,3.00,-27.25,-234.70,-12.42,0.29,-0.27,0.46,-117.92,-27.41,2.28
245.33,1.12,3.37,2.98,-37.69,-217.63,-10.67,0.30,-0.32,0.52,-118.08,-27.66,2.50
245.67,1.01,3.29,2.97,-24.74,-200.59,-18.41,0.31,-0.32,0.52,-118.21,-27.90,2.71
246.00,0.90,3.42,2.87,-24.65,-199.71,-11.46,0.44,-0.31,0.53,-116.36,-31.18,0.01
246.33,0.83,3.33,2.91,-31.45,-212.64,-16.88,0.45,-0.22,0.44,-116.39,-31.42,0.16
246.67,0.77,3.23,2.98,-22.86,-220.73,-32.27,0.44,-0.13,0.36,-116.33,-31.62,0.26
247.00,0.41,3.67,2.78,-24.02,-229.99,-37.38,0.73,-0.33,0.41,-116.57,-32.12,2.11
247.33,0.47,3.48,2.93,-29.31,-217.55,-47.37,0.71,-0.25,0.36,-116.37,-32.26,2.08
247.67,0.52,3.30,3.06,-29.47,-234.11,-50.05,0.69,-0.19,0.33,-116.17,-32.38,2.06
248.00,0.57,3.15,3.15,-26.29,-250.56,-61.57,0.68,-0.13,0.32,-116.42,-32.74,1.73
248.33,0.64,3.01,3.28,-26.65,-246.83,-57.90,0.65,-0.12,0.31,-116.23,-32.84,1.72
248.67,0.70,2.86,3.41,-29.81,-229.42,-72.99,0.63,-0.11,0.30,-116.03,-32.93,1.70
249.00,0.77,2.31,3.77,-28.42,-226.63,-71.67,0.53,-0.07,0.25,-115.37,-34.77,2.23
249.33,0.81,2.16,3.89,-26.90,-237.73,-81.20,0.50,-0.06,0.24,-115.17,-34.83,2.20
249.67,0.86,2.02,4.01,-22.24,-232.03,-80.60,0.46,-0.06,0.23,-114.98,-34.87,2.18
250.00,0.94,1.58,4.33,-18.04,-222.08,-91.61,0.42,-0.09,0.23,-113.94,-35.55,0.19
250.33,0.99,1.44,4.45,-18.74,-220.08,-91.55,0.39,-0.09,0.23,-113.77,-35.57,0.18
250.67,1.03,1.29,4.57,-14.41,-227.16,-101.46,0.36,-0.10,0.22,-113.62,-35.57,0.17
251.00,1.05,1.22,4.62,-21.39,-229.17,-104.93,0.37,-0.11,0.24,-113.65,-35.03,0.74
251.33,1.12,1.07,4.75,-19.18,-242.29,-82.36,0.37,-0.13,0.25,-113.52,-35.01,0.76
251.67,1.17,0.92,4.88,-28.74,-229.54,-66.99,0.39,-0.14,0.26,-113.38,-35.00,0.77
252.00,1.16,-0.12,5.40,-19.46,-218.32,-50.09,0.38,-0.09,0.27,-112.35,-34.93,-1.43
252.33,1.21,-0.25,5.52,-18.65,-241.16,-37.19,0.40,-0.11,0.29,-112.20,-34.97,-1.44
252.67,1.25,-0.39,5.64,-25.66,-247.83,-30.92,0.40,-0.12,0.29,-112.05,-35.01,-1.46
253.00,1.46,0.21,5.42,-29.63,-232.34,-20.51,0.21,-0.09,0.13,-114.06,-37.92,-0.59
253.33,1.43,0.09,5.49,-36.67,-220.79,-24.25,0.17,-0.09,0.12,-113.91,-37.96,-0.62
253.67,1.42,-0.03,5.56,-42.82,-228.65,-32.25,0.13,-0.10,0.12,-113.78,-37.96,-0.64
254.00,1.46,0.27,5.44,-36.67,-237.13,-42.75,-0.02,-0.10,0.07,-110.62,-36.45,-0.92
254.33,1.42,0.15,5.50,-35.15,-231.30,-16.36,-0.05,-0.12,0.07,-110.52,-36.41,-0.93
254.67,1.38,0.04,5.56,-30.41,-226.29,-10.55,-0.07,-0.14,0.07,-110.45,-36.37,-0.93
255.00,1.32,-0.23,5.67,-38.43,-226.81,1.38,-0.07,-0.17,0.09,-110.08,-36.88,-1.68
255.33,1.27,-0.34,5.72,-29.06,-234.89,-2.88,-0.07,-0.20,0.11,-110.04,-36.87,-1.66
255.67,1.22,-0.46,5.78,-22.33,-237.47,-8.28,-0.06,-0.25,0.14,-109.98,-36.87,-1.65
256.00,1.18,-0.01,5.56,-28.76,-229.74,-20.33,-0.10,-0.33,0.14,-109.47,-38.37,-2.60
256.33,1.11,-0.16,5.61,-27.11,-233.99,-18.12,-0.10,-0.40,0.19,-109.42,-38.39,-2.60
256.67,1.03,-0.29,5.65,-31.07,-247.81,-9.71,-0.11,-0.48,0.23,-109.43,-38.45,-2.58
257.00,0.95,0.28,5.35,-17.13,-251.15,-10.01,-0.23,-0.55,0.21,-108.50,-36.43,-0.88
257.33,0.83,0.18,5.33,-18.60,-250.35,-5.97,-0.24,-0.61,0.25,-108.62,-36.54,-0.81
257.67,0.71,0.07,5.31,-23.17,-243.17,-6.67,-0.25,-0.63,0.26,-108.77,-36.67,-0.71
258.00,0.61,0.56,5.03,-32.84,-238.00,-9.33,-0.15,-0.48,0.28,-106.09,-34.26,0.07
258.33,0.51,0.50,5.02,-31.86,-217.91,0.17,-0.16,-0.41,0.24,-106.23,-34.38,0.17
258.67,0.41,0.42,5.03,-22.64,-212.29,-5.31,-0.19,-0.34,0.19,-106.31,-34.44,0.25
259.00,0.48,0.56,5.05,-23.47,-223.41,0.28,-0.18,-0.24,0.15,-107.81,-32.41,-2.05
259.33,0.41,0.46,5.11,-23.09,-208.47,-6.09,-0.20,-0.16,0.09,-107.78,-32.39,-2.03
259.67,0.34,0.37,5.17,-26.07,-199.86,-11.90,-0.21,-0.11,0.06,-107.75,-32.35,-2.00
260.00,0.34,-0.09,5.40,-28.93,-216.63,-17.88,-0.28,-0.03,-0.02,-109.76,-33.06,-0.22
260.33,0.27,-0.15,5.43,-25.11,-211.64,-16.78,-0.27,-0.02,-0.02,-109.73,-32.99,-0.19
260.67,0.18,-0.20,5.47,-26.08,-214.28,-14.36,-0.26,-0.01,-0.02,-109.69,-32.94,-0.17
261.00,0.08,-0.40,5.59,-23.05,-215.70,-12.42,-0.27,0.00,-0.05,-109.31,-33.85,0.03
261.33,-0.03,-0.46,5.61,-22.24,-209.43,-34.57,-0.25,0.01,-0.05,-109.24,-33.83,0.03
261.67,-0.13,-0.52,5.63,-16.83,-205.97,-37.07,-0.26,0.02,-0.05,-109.16,-33.80,0.03
262.00,-0.02,0.04,5.47,-21.19,-211.70,-45.23,-0.39,0.08,-0.15,-109.57,-31.07,1.14
262.33,-0.16,0.00,5.47,-23.63,-214.83,-24.15,-0.41,0.08,-0.16,-109.49,-31.02,1.13
262.67,-0.30,-0.03,5.48,-18.57,-192.03,-32.34,-0.43,0.08,-0.17,-109.43,-30.95,1.14
263.00,-0.66,-0.84,5.71,-24.64,-172.99,-40.16,-0.50,-0.07,-0.22,-109.38,-31.14,3.87
263.33,-0.81,-0.92,5.69,-22.81,-173.70,-47.74,-0.50,-0.09,-0.20,-109.35,-31.06,3.90
263.67,-0.97,-1.00,5.67,-20.42,-171.70,-51.88,-0.48,-0.12,-0.17,-109.32,-31.01,3.92
264.00,-1.17,-0.92,5.62,-20.56,-168.10,-57.01,-0.46,-0.20,-0.15,-107.54,-31.15,4.76
264.33,-1.34,-1.01,5.58,-12.52,-172.64,-47.48,-0.42,-0.23,-0.11,-107.51,-31.15,4.76
264.67,-1.50,-1.12,5.54,-12.48,-177.30,-44.37,-0.38,-0.25,-0.08,-107.47,-31.17,4.75
265.00,-1.52,-0.45,5.26,-17.89,-182.01,-37.93,-0.38,-0.21,-0.10,-108.37,-31.24,5.98
265.33,-1.71,-0.54,5.20,-17.37,-190.55,-40.47,-0.34,-0.20,-0.09,-108.31,-31.30,5.97
265.67,-1.89,-0.64,5.15,-26.57,-198.26,-24.01,-0.32,-0.19,-0.08,-108.23,-31.36,5.96
266.00,-2.12,-0.75,5.06,-18.51,-173.49,-32.53,-0.30,-0.18,-0.08,-108.18,-31.17,6.16
266.33,-2.30,-0.86,5.02,-20.44,-173.72,-35.94,-0.29,-0.17,-0.07,-108.08,-31.23,6.15
266.67,-2.47,-0.97,4.98,-17.48,-175.51,-40.32,-0.28,-0.17,-0.06,-107.98,-31.28,6.14
267.00,-2.51,-0.37,4.75,-20.37,-176.80,-37.51,-0.27,-0.20,-0.05,-107.51,-31.16,4.78
267.33,-2.68,-0.49,4.72,-15.85,-158.44,-41.83,-0.24,-0.24,-0.01,-107.41,-31.23,4.77
267.67,-2.85,-0.62,4.69,-18.15,-170.05,-33.56,-0.17,-0.32,0.08,-107.33,-31.31,4.77
268.00,-2.99,-0.56,4.61,-16.95,-157.36,-38.10,-0.08,-0.44,0.21,-106.87,-32.33,4.51
268.33,-3.15,-0.72,4.59,-20.55,-137.42,-31.43,0.05,-0.57,0.36,-106.78,-32.52,4.48
268.67,-3.34,-0.88,4.53,-18.21,-118.99,-20.30,0.18,-0.71,0.53,-106.64,-32.88,4.37
269.00,-3.71,-0.62,4.31,-14.44,-117.79,-26.05,0.74,-1.06,0.71,-108.50,-34.76,3.71
269.33,-3.85,-0.82,4.28,-11.38,-124.38,-33.67,0.84,-1.17,0.82,-108.36,-35.38,3.54
269.67,-3.99,-1.03,4.24,-12.39,-126.34,-23.91,0.84,-1.19,0.85,-108.23,-36.03,3.38
270.00,-4.65,-0.84,4.06,-12.72,-124.28,-22.84,1.73,-1.80,0.83,-109.07,-36.79,3.83
270.33,-4.53,-1.16,4.24,-13.88,-128.82,-20.33,1.56,-1.66,0.82,-109.02,-37.39,3.72
270.67,-4.35,-1.52,4.44,-17.32,-130.79,-22.62,1.37,-1.49,0.80,-108.97,-37.80,3.65
271.00,-4.29,-1.48,4.49,-16.33,-135.29,-23.37,1.66,-1.67,1.05,-107.58,-37.20,2.54
271.33,-3.86,-1.98,4.84,-10.64,-122.63,-19.06,1.48,-1.49,1.05,-107.55,-37.30,2.53
271.67,-3.46,-2.45,5.19,-17.29,-118.31,-10.12,1.37,-1.39,1.05,-107.51,-37.37,2.52
272.00,-3.06,-2.81,5.51,-25.91,-123.86,-3.83,1.31,-1.34,1.05,-107.35,-37.55,2.61
272.33,-2.67,-3.25,5.86,-25.91,-124.22,-2.03,1.30,-1.34,1.05,-107.33,-37.58,2.60
272.67,-2.29,-3.69,6.21,-24.55,-129.70,-7.06,1.29,-1.34,1.06,-107.31,-37.63,2.60
273.00,-1.91,-4.35,6.63,-21.32,-123.43,-12.22,1.26,-1.33,1.05,-107.06,-37.90,2.65
273.33,-1.55,-4.77,6.98,-18.44,-134.84,-27.02,1.25,-1.33,1.05,-107.05,-37.97,2.65
273.67,-1.18,-5.20,7.33,-17.98,-131.19,-18.46,1.22,-1.31,1.05,-107.03,-38.02,2.66
274.00,-0.81,-5.81,7.72,-19.56,-122.05,-28.34,1.16,-1.28,1.04,-106.87,-38.51,2.29
274.33,-0.44,-6.23,8.07,-18.11,-130.89,-47.94,1.12,-1.25,1.04,-106.86,-38.52,2.31
274.67,-0.06,-6.66,8.42,-9.18,-130.24,-69.84,1.10,-1.25,1.04,-106.85,-38.49,2.34
275.00,0.30,-6.90,8.70,-9.50,-121.35,-86.68,1.12,-1.28,1.06,-106.51,-38.26,3.59
275.33,0.70,-7.35,9.06,-10.72,-103.40,-106.06,1.15,-1.34,1.07,-106.52,-38.22,3.64
275.67,1.09,-7.79,9.41,-28.32,-102.13,-122.92,1.23,-1.46,1.09,-106.54,-38.24,3.67
276.00,1.47,-8.12,9.74,-32.85,-116.49,-141.47,1.37,-1.63,1.12,-106.90,-37.99,3.70
276.33,1.86,-8.58,10.09,-27.49,-112.67,-137.50,1.51,-1.82,1.15,-106.93,-38.14,3.69
276.67,2.20,-9.04,10.43,-15.59,-119.79,-137.72,1.62,-2.01,1.18,-106.99,-38.43,3.65
277.00,2.38,-9.03,10.60,-18.76,-124.07,-130.17,2.45,-2.39,1.48,-106.99,-38.45,1.17
277.33,2.89,-9.55,11.10,-25.46,-105.95,-145.94,2.50,-2.54,1.50,-107.11,-38.94,1.14
277.67,3.43,-10.07,11.59,-45.74,-110.19,-165.25,2.49,-2.59,1.53,-107.27,-39.43,1.14
278.00,3.92,-10.41,12.02,-49.28,-129.17,-176.62,2.65,-2.65,1.69,-110.03,-42.30,0.29
278.33,4.54,-10.92,12.57,-53.12,-131.15,-196.18,2.53,-2.55,1.72,-110.24,-42.72,0.35
278.67,5.20,-11.45,13.11,-51.77,-132.78,-212.61,2.40,-2.42,1.74,-110.43,-43.02,0.41
