t,xc,yc,zc,rx_degc,ry_degc,rz_degc
215.00,-0.13,1.00,0.40,1.33,3.07,0.82
215.33,-0.19,1.00,0.45,1.39,3.08,0.83
215.67,-0.22,1.01,0.47,1.44,3.07,0.83
216.00,-0.23,1.04,0.48,1.10,3.19,0.82
216.33,-0.24,1.07,0.49,1.14,3.18,0.81
216.67,-0.25,1.09,0.50,1.20,3.20,0.80
217.00,-0.24,1.11,0.52,1.06,3.74,0.96
217.33,-0.24,1.14,0.54,1.13,3.77,0.94
217.67,-0.25,1.16,0.55,1.21,3.79,0.92
218.00,-0.25,1.18,0.58,1.19,3.80,0.06
218.33,-0.26,1.21,0.60,1.27,3.79,0.04
218.67,-0.27,1.24,0.62,1.34,3.77,0.02
219.00,-0.29,1.26,0.64,1.54,3.01,-0.59
219.33,-0.31,1.28,0.66,1.60,2.99,-0.60
219.67,-0.32,1.31,0.68,1.65,3.00,-0.62
220.00,-0.33,1.33,0.69,1.77,3.85,-0.52
220.33,-0.34,1.35,0.70,1.80,3.91,-0.54
220.67,-0.35,1.38,0.71,1.83,3.97,-0.58
221.00,-0.34,1.41,0.71,1.23,4.85,-0.92
221.33,-0.35,1.45,0.70,1.26,4.91,-0.97
221.67,-0.35,1.48,0.71,1.32,4.96,-1.02
222.00,-0.37,1.50,0.74,1.09,6.54,-0.97
222.33,-0.38,1.53,0.76,1.21,6.56,-1.00
222.67,-0.40,1.57,0.78,1.35,6.57,-1.02
223.00,-0.44,1.61,0.79,1.00,4.28,-1.22
223.33,-0.46,1.68,0.80,1.18,4.29,-1.22
223.67,-0.48,1.73,0.83,1.40,4.33,-1.23
224.00,-0.51,1.76,0.88,2.69,5.49,-1.35
224.33,-0.51,1.81,0.92,2.98,5.58,-1.37
224.67,-0.52,1.86,0.95,3.26,5.67,-1.39
225.00,-0.53,1.89,0.99,4.60,7.05,-1.71
225.33,-0.53,1.94,1.03,4.84,7.12,-1.73
225.67,-0.54,1.99,1.04,5.03,7.17,-1.77
226.00,-0.57,2.07,1.04,5.74,9.36,-2.09
226.33,-0.59,2.14,1.03,5.86,9.36,-2.11
226.67,-0.60,2.19,1.04,6.01,9.38,-2.12
227.00,-0.59,2.22,1.07,3.21,7.87,-2.14
227.33,-0.59,2.25,1.11,3.38,7.90,-2.15
227.67,-0.59,2.29,1.13,3.54,7.92,-2.15
228.00,-0.61,2.32,1.17,6.19,6.45,-1.81
228.33,-0.62,2.35,1.19,6.30,6.45,-1.82
228.67,-0.63,2.39,1.21,6.39,6.45,-1.84
229.00,-0.64,2.42,1.23,6.85,8.42,-1.46
229.33,-0.66,2.45,1.25,6.89,8.43,-1.46
229.67,-0.67,2.48,1.26,6.91,8.47,-1.47
230.00,-0.67,2.53,1.25,6.38,5.64,-0.71
230.33,-0.67,2.58,1.24,6.37,5.70,-0.74
230.67,-0.68,2.61,1.25,6.41,5.77,-0.76
231.00,-0.68,2.65,1.27,7.05,5.36,0.62
231.33,-0.69,2.68,1.29,7.18,5.42,0.59
231.67,-0.70,2.71,1.33,7.34,5.48,0.56
232.00,-0.70,2.72,1.39,6.69,4.69,1.43
232.33,-0.70,2.72,1.45,6.89,4.74,1.40
232.67,-0.70,2.73,1.48,7.02,4.79,1.39
233.00,-0.68,2.74,1.52,7.84,5.50,2.52
233.33,-0.66,2.74,1.55,7.81,5.53,2.50
233.67,-0.66,2.75,1.55,7.66,5.49,2.46
234.00,-0.64,2.79,1.52,5.45,5.34,1.55
234.33,-0.63,2.83,1.48,5.13,5.20,1.50
234.67,-0.63,2.84,1.46,4.83,5.02,1.46
235.00,-0.62,2.84,1.46,3.28,3.79,0.64
235.33,-0.63,2.86,1.45,3.08,3.58,0.62
235.67,-0.62,2.86,1.47,2.99,3.43,0.60
236.00,-0.64,2.81,1.54,2.28,2.16,0.34
236.33,-0.63,2.79,1.60,2.37,2.10,0.34
236.67,-0.62,2.80,1.63,2.45,2.07,0.32
237.00,-0.61,2.80,1.65,1.45,2.74,0.01
237.33,-0.60,2.84,1.66,1.52,2.77,-0.00
237.67,-0.60,2.86,1.67,1.60,2.79,-0.03
238.00,-0.62,2.86,1.71,3.06,2.88,0.73
238.33,-0.62,2.88,1.73,3.14,2.89,0.74
238.67,-0.63,2.90,1.74,3.20,2.88,0.73
239.00,-0.64,2.92,1.75,3.99,2.61,1.93
239.33,-0.65,2.95,1.75,4.03,2.59,1.96
239.67,-0.65,2.98,1.76,4.07,2.56,1.98
240.00,-0.66,3.00,1.77,4.66,1.01,2.51
240.33,-0.66,3.03,1.78,4.73,0.98,2.54
240.67,-0.65,3.05,1.79,4.80,0.93,2.54
241.00,-0.64,3.06,1.81,4.82,0.12,0.75
241.33,-0.63,3.07,1.83,4.92,0.06,0.74
241.67,-0.62,3.10,1.83,5.00,0.01,0.72
242.00,-0.61,3.13,1.83,3.94,-0.14,0.07
242.33,-0.60,3.17,1.82,4.01,-0.19,0.07
242.67,-0.60,3.19,1.82,4.10,-0.25,0.06
243.00,-0.61,3.19,1.85,4.67,-1.27,-0.43
243.33,-0.61,3.20,1.86,4.77,-1.34,-0.44
243.67,-0.61,3.21,1.88,4.86,-1.41,-0.46
244.00,-0.62,3.19,1.91,5.93,-1.73,-1.32
244.33,-0.63,3.19,1.93,5.96,-1.74,-1.33
244.67,-0.63,3.20,1.93,5.91,-1.68,-1.34
245.00,-0.61,3.22,1.90,6.03,-0.70,-0.61
245.33,-0.60,3.24,1.86,5.86,-0.56,-0.58
245.67,-0.60,3.25,1.84,5.69,-0.44,-0.56
246.00,-0.61,3.25,1.83,5.46,-0.17,0.34
246.33,-0.61,3.26,1.81,5.33,-0.09,0.37
246.67,-0.62,3.26,1.81,5.26,-0.06,0.38
247.00,-0.63,3.24,1.83,4.74,-0.75,0.00
247.33,-0.64,3.23,1.85,4.75,-0.79,0.01
247.67,-0.63,3.23,1.86,4.77,-0.83,0.01
248.00,-0.62,3.24,1.87,4.01,-0.70,0.73
248.33,-0.61,3.25,1.87,4.04,-0.74,0.75
248.67,-0.60,3.27,1.87,4.07,-0.79,0.76
249.00,-0.59,3.27,1.88,4.29,-2.02,0.37
249.33,-0.58,3.29,1.89,4.34,-2.08,0.38
249.67,-0.57,3.31,1.89,4.40,-2.14,0.37
250.00,-0.55,3.32,1.90,3.99,-3.00,-0.76
250.33,-0.54,3.35,1.90,4.06,-3.04,-0.76
250.67,-0.52,3.37,1.90,4.14,-3.08,-0.75
251.00,-0.51,3.36,1.93,5.60,-3.24,0.02
251.33,-0.48,3.37,1.95,5.69,-3.26,0.04
251.67,-0.47,3.39,1.95,5.76,-3.31,0.06
252.00,-0.46,3.41,1.96,7.50,-3.91,-0.11
252.33,-0.44,3.43,1.96,7.52,-3.97,-0.08
252.67,-0.42,3.45,1.96,7.53,-4.05,-0.05
253.00,-0.41,3.49,1.94,7.85,-2.24,0.89
253.33,-0.40,3.52,1.94,7.86,-2.31,0.92
253.67,-0.38,3.53,1.95,7.89,-2.37,0.95
254.00,-0.35,3.54,1.96,7.41,-1.02,1.91
254.33,-0.33,3.55,1.98,7.48,-1.06,1.93
254.67,-0.31,3.56,2.00,7.54,-1.09,1.96
255.00,-0.29,3.58,2.00,6.19,-1.06,2.98
255.33,-0.27,3.60,2.01,6.22,-1.07,3.01
255.67,-0.26,3.61,2.02,6.25,-1.10,3.03
256.00,-0.26,3.60,2.04,6.60,-2.73,2.20
256.33,-0.26,3.60,2.05,6.60,-2.77,2.21
256.67,-0.26,3.60,2.05,6.55,-2.76,2.22
257.00,-0.24,3.61,2.05,6.41,-1.41,3.35
257.33,-0.23,3.61,2.03,6.30,-1.33,3.37
257.67,-0.22,3.62,2.02,6.17,-1.23,3.39
258.00,-0.21,3.64,1.99,5.59,0.01,5.04
258.33,-0.20,3.66,1.97,5.47,0.11,5.07
258.67,-0.20,3.67,1.97,5.41,0.15,5.10
259.00,-0.22,3.66,1.99,5.14,-2.18,3.81
259.33,-0.23,3.65,2.02,5.16,-2.20,3.83
259.67,-0.22,3.66,2.04,5.21,-2.23,3.86
260.00,-0.20,3.65,2.07,6.03,-0.84,5.56
260.33,-0.18,3.65,2.10,6.11,-0.86,5.58
260.67,-0.16,3.66,2.12,6.16,-0.90,5.60
261.00,-0.15,3.68,2.13,6.72,-3.88,5.40
261.33,-0.14,3.71,2.13,6.75,-3.94,5.43
261.67,-0.13,3.73,2.14,6.79,-4.01,5.45
262.00,-0.11,3.75,2.15,7.22,-6.35,2.88
262.33,-0.10,3.77,2.17,7.28,-6.41,2.91
262.67,-0.08,3.78,2.19,7.35,-6.46,2.94
263.00,-0.06,3.79,2.22,9.81,-4.25,2.12
263.33,-0.04,3.79,2.25,9.90,-4.27,2.15
263.67,-0.02,3.80,2.27,9.96,-4.30,2.17
264.00,-0.00,3.83,2.27,7.83,-4.08,3.69
264.33,0.02,3.84,2.29,7.84,-4.10,3.71
264.67,0.04,3.85,2.30,7.82,-4.13,3.75
265.00,0.06,3.87,2.30,5.34,-3.76,3.01
265.33,0.08,3.88,2.30,5.29,-3.82,3.05
265.67,0.10,3.88,2.31,5.23,-3.88,3.10
266.00,0.11,3.87,2.33,5.61,-5.87,3.24
266.33,0.13,3.86,2.35,5.57,-5.97,3.29
266.67,0.16,3.86,2.37,5.52,-6.07,3.32
267.00,0.18,3.83,2.40,6.41,-8.75,3.09
267.33,0.21,3.82,2.43,6.35,-8.84,3.13
267.67,0.24,3.79,2.46,6.28,-8.93,3.17
268.00,0.27,3.71,2.53,9.82,-10.14,3.59
268.33,0.30,3.63,2.59,9.64,-10.24,3.64
268.67,0.33,3.58,2.59,9.29,-10.36,3.66
269.00,0.32,3.57,2.54,11.72,-7.75,5.80
269.33,0.35,3.55,2.49,11.11,-7.90,5.81
269.67,0.38,3.51,2.44,10.46,-8.04,5.83
270.00,0.32,3.54,2.34,14.39,-5.30,5.63
270.33,0.33,3.54,2.27,13.78,-5.42,5.66
270.67,0.35,3.49,2.27,13.36,-5.51,5.75
271.00,0.46,3.45,2.30,18.30,-2.28,5.57
271.33,0.48,3.36,2.38,18.20,-2.32,5.65
271.67,0.50,3.32,2.43,18.12,-2.34,5.78
272.00,0.52,3.38,2.42,25.62,-1.50,5.50
272.33,0.53,3.35,2.46,25.59,-1.53,5.59
272.67,0.54,3.34,2.48,25.54,-1.56,5.77
273.00,0.49,3.47,2.40,35.02,1.73,4.38
273.33,0.49,3.47,2.40,34.95,1.68,4.52
273.67,0.49,3.46,2.42,34.91,1.61,4.77
274.00,0.52,3.64,2.31,46.89,6.55,3.01
274.33,0.52,3.63,2.33,46.91,6.46,3.18
274.67,0.52,3.62,2.35,46.97,6.32,3.53
275.00,0.63,3.84,2.24,37.02,11.24,-10.70
275.33,0.62,3.80,2.28,37.12,11.18,-10.43
275.67,0.61,3.77,2.31,37.20,11.08,-9.95
276.00,0.59,3.92,2.23,26.49,4.83,-8.61
276.33,0.59,3.88,2.27,26.36,4.79,-8.41
276.67,0.59,3.85,2.28,26.11,4.76,-8.06
277.00,0.41,3.98,2.15,23.88,9.09,-1.14
277.33,0.39,3.98,2.10,23.40,9.04,-1.04
277.67,0.39,3.96,2.08,22.94,9.05,-0.80
278.00,0.38,4.08,1.94,24.35,15.78,-6.93
278.33,0.37,4.07,1.88,23.94,15.81,-6.76
278.67,0.35,4.04,1.86,23.69,15.84,-6.46
279.00,0.36,4.14,1.78,30.34,10.38,-12.58
279.33,0.34,4.10,1.79,30.23,10.34,-12.44
279.67,0.32,4.09,1.79,30.19,10.27,-12.17
280.00,0.22,4.25,1.69,37.56,5.18,-3.10
280.33,0.21,4.23,1.69,37.54,5.05,-2.99
280.67,0.20,4.24,1.69,37.53,4.90,-2.70
281.00,0.17,4.48,1.52,41.24,16.93,4.26
281.33,0.12,4.47,1.47,41.25,16.80,4.45
281.67,0.08,4.46,1.42,41.34,16.66,4.86
282.00,0.18,4.71,1.21,41.39,22.29,-12.14
282.33,0.11,4.70,1.14,41.53,22.21,-11.87
282.67,0.03,4.67,1.09,41.80,22.08,-11.38
283.00,-0.04,4.89,0.94,45.11,4.28,-14.96
283.33,-0.08,4.87,0.92,45.28,4.14,-14.75
283.67,-0.12,4.87,0.88,45.42,3.95,-14.34
284.00,-0.17,5.18,0.68,48.30,2.88,2.30
284.33,-0.20,5.20,0.63,48.37,2.73,2.50
284.67,-0.20,5.21,0.57,48.45,2.55,2.90
285.00,-0.17,5.55,0.30,53.63,20.32,0.09
285.33,-0.18,5.54,0.23,53.83,20.19,0.31
285.67,-0.23,5.49,0.18,54.17,19.89,0.67
286.00,-0.27,5.74,0.00,58.76,11.17,-18.35
286.33,-0.37,5.66,-0.04,59.10,10.86,-18.37
286.67,-0.44,5.63,-0.11,59.42,10.44,-18.19
287.00,-0.50,6.00,-0.31,61.09,-5.96,-2.42
287.33,-0.57,5.97,-0.40,61.30,-6.25,-2.39
287.67,-0.60,5.94,-0.50,61.46,-6.61,-2.10
288.00,-0.59,6.28,-0.76,64.50,12.22,12.13
288.33,-0.60,6.21,-0.85,64.70,12.05,12.31
288.67,-0.65,6.15,-0.94,64.88,11.71,12.63
289.00,-0.67,6.49,-1.20,67.75,24.14,-9.74
289.33,-0.77,6.43,-1.33,67.82,23.89,-9.72
289.67,-0.86,6.37,-1.46,67.95,23.49,-9.50
290.00,-0.91,6.77,-1.74,67.50,-3.38,-13.87
290.33,-1.00,6.72,-1.89,67.50,-3.64,-13.83
290.67,-1.08,6.65,-2.04,67.52,-4.05,-13.58
291.00,-1.14,6.98,-2.31,63.64,-5.97,10.92
291.33,-1.21,6.88,-2.44,63.73,-6.20,11.02
291.67,-1.29,6.79,-2.57,63.78,-6.57,11.31
292.00,-1.34,7.11,-2.85,73.83,18.12,15.27
292.33,-1.44,7.03,-2.99,73.93,17.89,15.31
292.67,-1.54,6.94,-3.14,74.08,17.49,15.54
293.00,-1.60,7.31,-3.42,76.63,18.39,-14.32
293.33,-1.72,7.23,-3.59,76.71,18.12,-14.27
293.67,-1.83,7.16,-3.76,76.85,17.67,-14.06
294.00,-1.92,7.58,-4.06,71.82,-9.37,-3.95
294.33,-2.03,7.49,-4.23,71.89,-9.65,-3.89
294.67,-2.14,7.40,-4.39,71.95,-10.12,-3.62
295.00,-2.23,7.75,-4.70,70.29,-0.72,22.33
295.33,-2.34,7.65,-4.85,70.43,-1.00,22.40
295.67,-2.49,7.52,-5.00,70.58,-1.44,22.67
296.00,-2.67,7.80,-5.27,84.45,27.59,27.22
296.33,-2.93,7.64,-5.44,84.60,27.31,27.38
296.67,-3.10,7.53,-5.65,84.74,26.88,27.98
297.00,-3.16,7.96,-6.01,70.35,36.70,-12.43
297.33,-3.29,7.93,-6.31,70.46,36.73,-11.43
297.67,-3.46,7.89,-6.61,70.66,36.58,-10.20
298.00,-3.59,8.38,-7.04,58.95,7.91,-21.29
298.33,-3.75,8.36,-7.37,58.54,8.01,-20.63
298.67,-3.96,8.23,-7.64,58.39,7.85,-19.94
299.00,-4.17,8.37,-7.96,62.22,1.52,2.03
299.33,-4.38,8.17,-8.09,62.36,1.30,2.09
299.67,-4.52,8.03,-8.23,62.52,0.96,2.34
300.00,-4.61,8.32,-8.52,72.88,22.62,7.00
300.33,-4.74,8.20,-8.68,73.04,22.36,7.06
300.67,-4.86,8.11,-8.86,73.21,21.96,7.31
301.00,-4.95,8.51,-9.18,66.68,22.20,-24.21
301.33,-5.11,8.46,-9.41,66.73,21.93,-24.09
301.67,-5.27,8.38,-9.63,66.86,21.53,-23.74
302.00,-5.42,8.72,-9.96,64.24,-3.04,-10.65
302.33,-5.57,8.62,-10.17,64.27,-3.27,-10.53
302.67,-5.73,8.51,-10.38,64.31,-3.64,-10.21
303.00,-5.87,8.80,-10.71,66.72,5.88,11.41
303.33,-6.02,8.68,-10.91,66.79,5.66,11.51
303.67,-6.16,8.58,-11.12,66.83,5.32,11.78
304.00,-6.26,8.95,-11.46,76.57,28.97,4.11
304.33,-6.41,8.88,-11.69,76.57,28.75,4.16
304.67,-6.56,8.80,-11.92,76.68,28.35,4.39
305.00,-6.68,9.22,-12.27,98.06,7.20,-3.32
305.33,-6.83,9.17,-12.49,98.16,6.92,-3.37
305.67,-7.00,9.08,-12.70,98.37,6.38,-3.34
306.00,-7.13,9.57,-13.03,102.56,-11.70,29.18
306.33,-7.29,9.43,-13.18,102.92,-12.09,29.12
306.67,-7.42,9.33,-13.35,103.20,-12.79,29.19
307.00,-7.50,9.94,-13.68,114.69,26.35,55.02
307.33,-7.63,9.85,-13.87,114.81,25.95,54.96
307.67,-7.76,9.79,-14.09,114.85,25.20,54.94
308.00,-7.84,10.41,-14.44,78.23,31.44,-2.83
308.33,-7.98,10.39,-14.69,78.22,31.14,-2.66
308.67,-8.14,10.31,-14.93,78.41,30.60,-2.27
309.00,-8.30,10.68,-15.26,83.16,7.84,23.37
309.33,-8.47,10.56,-15.47,83.26,7.60,23.41
309.67,-8.63,10.44,-15.68,83.41,7.17,23.68
310.00,-8.73,10.84,-15.99,104.06,35.08,44.43
310.33,-8.87,10.72,-16.19,104.25,34.79,44.61
310.67,-9.01,10.64,-16.41,104.45,34.22,44.93
311.00,-9.09,11.16,-16.75,64.52,51.43,-14.53
311.33,-9.23,11.13,-17.01,64.92,51.31,-13.92
311.67,-9.38,11.06,-17.26,65.60,51.00,-12.99
312.00,-9.53,11.38,-17.57,59.13,17.37,-2.64
312.33,-9.67,11.28,-17.80,59.23,17.24,-2.41
312.67,-9.82,11.19,-18.03,59.39,16.97,-2.03
313.00,-9.95,11.46,-18.33,68.71,20.48,23.62
313.33,-10.09,11.36,-18.54,68.82,20.27,23.68
313.67,-10.21,11.27,-18.75,68.97,19.94,23.90
314.00,-10.29,11.60,-19.05,91.49,45.96,37.35
314.33,-10.41,11.51,-19.27,91.52,45.73,37.30
314.67,-10.53,11.42,-19.50,91.64,45.31,37.42
315.00,-10.61,11.79,-19.80,53.93,49.85,-24.91
315.33,-10.73,11.70,-20.04,54.11,49.65,-24.67
315.67,-10.85,11.61,-20.28,54.52,49.35,-24.11
316.00,-10.96,11.88,-20.58,76.87,33.32,18.80
316.33,-11.09,11.78,-20.83,76.84,33.11,18.81
316.67,-11.22,11.69,-21.08,76.89,32.77,18.99
317.00,-11.31,12.04,-21.41,112.79,41.01,60.19
317.33,-11.43,11.96,-21.67,112.67,40.78,60.09
317.67,-11.56,11.87,-21.92,112.58,40.30,60.03
318.00,-11.62,12.31,-22.26,-169.40,60.01,116.83
318.33,-11.75,12.22,-22.52,-169.95,60.02,116.22
318.67,-11.88,12.13,-22.79,-170.92,59.93,115.09
319.00,-11.96,12.51,-23.11,150.84,16.40,47.34
319.33,-12.09,12.42,-23.37,150.80,16.27,47.09
319.67,-12.22,12.34,-23.64,150.72,15.95,46.70
320.00,-12.29,13.16,-24.06,152.90,-43.63,61.57
320.33,-12.44,13.08,-24.34,153.29,-43.91,61.05
320.67,-12.58,12.99,-24.62,153.94,-44.60,60.18
321.00,-12.87,11.83,-24.75,179.69,-17.24,-31.49
321.33,-13.00,11.70,-25.02,179.57,-16.89,-31.00
321.67,-13.12,11.59,-25.30,179.28,-16.34,-30.03
322.00,-13.17,12.58,-25.80,-112.40,-64.07,-101.56
322.33,-13.23,12.49,-26.07,-111.25,-63.73,-102.95
322.67,-13.32,12.39,-26.35,-109.26,-63.00,-105.28
323.00,-13.38,13.11,-26.83,114.05,-41.25,70.58
323.33,-13.51,13.03,-27.13,113.86,-41.88,70.73
323.67,-13.64,12.93,-27.43,113.71,-42.89,70.87
324.00,-13.71,13.71,-27.87,152.32,-4.15,-2.04
324.33,-13.87,13.61,-28.19,152.33,-4.53,-2.38
324.67,-14.02,13.52,-28.50,152.37,-5.25,-2.94
325.00,-14.19,14.42,-28.98,158.25,-52.55,-43.91
325.33,-14.29,14.27,-29.28,158.78,-52.95,-44.58
325.67,-14.39,14.14,-29.59,159.75,-53.72,-45.80
326.00,-14.51,14.79,-30.11,65.27,-57.76,77.89
326.33,-14.61,14.70,-30.42,64.82,-58.06,78.43
326.67,-14.72,14.59,-30.73,63.85,-58.57,79.62
327.00,-14.72,15.13,-31.15,129.20,-15.57,44.76
327.33,-14.86,15.02,-31.48,129.33,-15.90,44.65
327.67,-15.00,14.93,-31.82,129.46,-16.55,44.47
328.00,-15.15,15.75,-32.24,134.91,-25.45,-19.65
328.33,-15.34,15.63,-32.64,135.05,-25.84,-19.88
328.67,-15.51,15.52,-33.03,135.23,-26.65,-20.25
329.00,-15.73,16.26,-33.57,82.57,-71.71,30.32
329.33,-15.89,16.15,-33.97,82.07,-72.09,30.84
329.67,-16.05,16.01,-34.35,80.65,-72.76,32.36
330.00,-16.17,16.46,-34.86,88.28,-29.91,62.82
330.33,-16.31,16.32,-35.24,88.27,-30.17,63.01
330.67,-16.46,16.19,-35.62,88.14,-30.69,63.38
331.00,-16.56,16.78,-36.08,127.50,-8.80,8.11
331.33,-16.74,16.68,-36.50,127.55,-9.13,8.05
331.67,-16.94,16.58,-36.93,127.62,-9.79,7.92
332.00,-17.22,17.33,-37.44,102.45,-55.02,6.35
332.33,-17.47,17.18,-37.88,102.34,-55.48,6.52
332.67,-17.69,17.04,-38.32,101.84,-56.34,7.10
333.00,-17.87,17.58,-38.88,99.87,-20.38,43.65
333.33,-18.04,17.48,-39.32,99.65,-20.75,44.03
333.67,-18.21,17.39,-39.76,99.37,-21.42,44.57
334.00,-18.32,18.01,-40.28,116.90,11.32,5.05
334.33,-18.47,17.93,-40.72,116.91,10.82,5.34
334.67,-18.66,17.85,-41.15,116.96,10.01,5.55
335.00,-18.90,18.52,-41.66,99.65,-27.96,-10.05
335.33,-19.09,18.38,-42.08,99.66,-28.36,-9.87
335.67,-19.27,18.26,-42.51,99.62,-29.10,-9.57
336.00,-19.46,18.75,-43.02,74.19,-31.43,37.21
336.33,-19.60,18.63,-43.43,74.18,-31.67,37.43
336.67,-19.73,18.51,-43.85,74.01,-32.13,37.93
337.00,-19.83,18.95,-44.33,100.99,2.49,32.34
337.33,-19.96,18.84,-44.75,101.06,2.20,32.44
337.67,-20.09,18.73,-45.17,101.11,1.67,32.65
338.00,-20.19,19.31,-45.66,99.68,1.65,-12.35
338.33,-20.32,19.21,-46.10,99.69,1.33,-12.17
338.67,-20.45,19.11,-46.54,99.70,0.71,-11.88
339.00,-20.62,19.64,-47.06,77.94,-29.99,-1.22
